0 hermite_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.001000_0.001000,0.0000000226,-0.0000000455,0.0000000475,0.0000000475
11 hermite_formula_-0.001000_0.001000,0.0000000207,-0.0000000451,0.0000000404,0.0000000451
12 hermite_formula_-0.001000_0.001000,0.0000000142,-0.0000000302,0.0000000297,0.0000000302
13 hermite_formula_-0.001000_0.001000,0.0000000209,-0.0000000482,0.0000000481,0.0000000482
14 hermite_formula_-0.001000_0.001000,0.0000000270,-0.0000000570,0.0000000568,0.0000000570
15 hermite_formula_-0.001000_0.001000,0.0000000189,-0.0000000522,0.0000000494,0.0000000522
16 hermite_formula_-0.001000_0.001000,0.0000000243,-0.0000000466,0.0000000470,0.0000000470
17 hermite_formula_-0.001000_0.001000,0.0000000222,-0.0000000527,0.0000000575,0.0000000575
18 hermite_formula_-0.001000_0.001000,0.0000000122,-0.0000000315,0.0000000281,0.0000000315
1 hermite_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.001000_0.001000,0.0000000155,-0.0000000360,0.0000000351,0.0000000360
2 hermite_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.001000_0.001000,0.0000000242,-0.0000000462,0.0000000550,0.0000000550
4 hermite_formula_-0.001000_0.001000,0.0000000173,-0.0000000317,0.0000000295,0.0000000317
5 hermite_formula_-0.001000_0.001000,0.0000000211,-0.0000000476,0.0000000556,0.0000000556
6 hermite_formula_-0.001000_0.001000,0.0000000218,-0.0000000396,0.0000000389,0.0000000396
7 hermite_formula_-0.001000_0.001000,0.0000000235,-0.0000000546,0.0000000486,0.0000000546
8 hermite_formula_-0.001000_0.001000,0.0000000153,-0.0000000295,0.0000000297,0.0000000297
9 hermite_formula_-0.001000_0.001000,0.0000000241,-0.0000000531,0.0000000577,0.0000000577
,0.0000000289,-0.0000000578,0.0000000567,0.0000000578
0 hermite_formula_-0.010000_0.010000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.010000_0.010000,0.0000000214,-0.0000000550,0.0000000471,0.0000000550
11 hermite_formula_-0.010000_0.010000,0.0000000212,-0.0000000383,0.0000000468,0.0000000468
12 hermite_formula_-0.010000_0.010000,0.0000000133,-0.0000000303,0.0000000299,0.0000000303
13 hermite_formula_-0.010000_0.010000,0.0000000205,-0.0000000484,0.0000000375,0.0000000484
14 hermite_formula_-0.010000_0.010000,0.0000000302,-0.0000000553,0.0000000551,0.0000000553
15 hermite_formula_-0.010000_0.010000,0.0000000244,-0.0000000572,0.0000000521,0.0000000572
16 hermite_formula_-0.010000_0.010000,0.0000000275,-0.0000000440,0.0000000465,0.0000000465
17 hermite_formula_-0.010000_0.010000,0.0000000230,-0.0000000540,0.0000000463,0.0000000540
18 hermite_formula_-0.010000_0.010000,0.0000000174,-0.0000000319,0.0000000320,0.0000000320
1 hermite_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.010000_0.010000,0.0000000178,-0.0000000339,0.0000000363,0.0000000363
2 hermite_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.010000_0.010000,0.0000000214,-0.0000000576,0.0000000369,0.0000000576
4 hermite_formula_-0.010000_0.010000,0.0000000153,-0.0000000317,0.0000000281,0.0000000317
5 hermite_formula_-0.010000_0.010000,0.0000000210,-0.0000000484,0.0000000446,0.0000000484
6 hermite_formula_-0.010000_0.010000,0.0000000206,-0.0000000376,0.0000000393,0.0000000393
7 hermite_formula_-0.010000_0.010000,0.0000000205,-0.0000000516,0.0000000524,0.0000000524
8 hermite_formula_-0.010000_0.010000,0.0000000138,-0.0000000293,0.0000000287,0.0000000293
9 hermite_formula_-0.010000_0.010000,0.0000000205,-0.0000000404,0.0000000489,0.0000000489
,0.0000000288,-0.0000000577,0.0000000567,0.0000000577
0 hermite_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.100000_0.100000,0.0000000235,-0.0000000549,0.0000000507,0.0000000549
11 hermite_formula_-0.100000_0.100000,0.0000000265,-0.0000000548,0.0000000534,0.0000000548
12 hermite_formula_-0.100000_0.100000,0.0000000157,-0.0000000370,0.0000000289,0.0000000370
13 hermite_formula_-0.100000_0.100000,0.0000000235,-0.0000000410,0.0000000539,0.0000000539
14 hermite_formula_-0.100000_0.100000,0.0000000220,-0.0000000551,0.0000000543,0.0000000551
15 hermite_formula_-0.100000_0.100000,0.0000000225,-0.0000000446,0.0000000451,0.0000000451
16 hermite_formula_-0.100000_0.100000,0.0000000251,-0.0000000511,0.0000000501,0.0000000511
17 hermite_formula_-0.100000_0.100000,0.0000000197,-0.0000000414,0.0000000485,0.0000000485
18 hermite_formula_-0.100000_0.100000,0.0000000167,-0.0000000364,0.0000000325,0.0000000364
1 hermite_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.100000_0.100000,0.0000000186,-0.0000000389,0.0000000387,0.0000000389
2 hermite_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.100000_0.100000,0.0000000230,-0.0000000536,0.0000000533,0.0000000536
