"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000245,-0.0000000508,0.0000000552,0.0000000552
0.0000000218,-0.0000000513,0.0000000544,0.0000000544
0.0000000253,-0.0000000559,0.0000000575,0.0000000575
0.0000000269,-0.0000000532,0.0000000557,0.0000000557
0.0000000247,-0.0000000548,0.0000000524,0.0000000548
0.0000000251,-0.0000000572,0.0000000505,0.0000000572
0.0000000266,-0.0000000551,0.0000000550,0.0000000551
0.0000000237,-0.0000000540,0.0000000535,0.0000000540
0.0000000234,-0.0000000562,0.0000000536,0.0000000562
0.0000000253,-0.0000000559,0.0000000512,0.0000000559
0.0000000222,-0.0000000534,0.0000000554,0.0000000554
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000255,-0.0000000530,0.0000000567,0.0000000567
0.0000000261,-0.0000000554,0.0000000534,0.0000000554
0.0000000258,-0.0000000571,0.0000000565,0.0000000571
0.0000000274,-0.0000000573,0.0000000549,0.0000000573
0.0000000254,-0.0000000565,0.0000000576,0.0000000576
0.0000000278,-0.0000000584,0.0000000591,0.0000000591
0.0000000228,-0.0000000516,0.0000000544,0.0000000544
0.0000000245,-0.0000000516,0.0000000526,0.0000000526
