"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:37:47 2019","BGRT","REL",0.0000000170,-0.0000000413,0.0000000557,0.0000000557,4,62
"Wed Jun  5 22:37:50 2019","BGRT","REL",0.0000036004,-0.0000004138,0.0002185664,0.0002185664,3,62
"Wed Jun  5 22:37:53 2019","BGRT","REL",0.0000000929,-0.0000013589,0.0000013559,0.0000013589,3,62
"Wed Jun  5 22:37:56 2019","BGRT","REL",0.0000000820,-0.0000005998,0.0000013223,0.0000013223,3,62
"Wed Jun  5 22:38:06 2019","BGRT","REL",0.0000001766,-0.0000076513,0.0000002993,0.0000076513,10,62
"Wed Jun  5 22:38:09 2019","BGRT","REL",0.0000000325,-0.0000001259,0.0000001338,0.0000001338,3,62
"Wed Jun  5 22:38:11 2019","BGRT","REL",0.0000000244,-0.0000000803,0.0000000599,0.0000000803,2,62
"Wed Jun  5 22:38:13 2019","BGRT","REL",0.0000000234,-0.0000000630,0.0000000572,0.0000000630,2,62
"Wed Jun  5 22:38:22 2019","BGRT","REL",0.0000000226,-0.0000000557,0.0000000459,0.0000000557,9,62
"Wed Jun  5 22:38:25 2019","BGRT","REL",0.0000000249,-0.0000000527,0.0000000547,0.0000000547,3,62
"Wed Jun  5 22:38:33 2019","BGRT","REL",0.0000000195,-0.0000000461,0.0000000367,0.0000000461,8,62
"Wed Jun  5 22:38:36 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 22:38:41 2019","BGRT","REL",0.0000000215,-0.0000000464,0.0000000469,0.0000000469,5,62
"Wed Jun  5 22:38:45 2019","BGRT","REL",0.0000000179,-0.0000000365,0.0000000475,0.0000000475,4,62
"Wed Jun  5 22:38:50 2019","BGRT","REL",0.0000000202,-0.0000000417,0.0000000489,0.0000000489,5,62
"Wed Jun  5 22:39:02 2019","BGRT","REL",0.0000000211,-0.0000000492,0.0000000547,0.0000000547,12,62
"Wed Jun  5 22:39:08 2019","BGRT","REL",0.0000000249,-0.0000000475,0.0000000475,0.0000000475,6,62
"Wed Jun  5 22:39:21 2019","BGRT","REL",0.0000000237,-0.0000000566,0.0000000556,0.0000000566,13,62
"Wed Jun  5 22:39:31 2019","BGRT","REL",0.0000000265,-0.0000000622,0.0000000636,0.0000000636,10,62
"Wed Jun  5 22:39:38 2019","BGRT","REL",0.0000000283,-0.0000001032,0.0000000613,0.0000001032,7,62
