0 legendre_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-0.100000_0.100000,0.0000000209,-0.0000000521,0.0000000376,0.0000000521
11 legendre_formula_-0.100000_0.100000,0.0000000200,-0.0000000573,0.0000000628,0.0000000628
12 legendre_formula_-0.100000_0.100000,0.0000002007,-0.0000075119,0.0000006113,0.0000075119
13 legendre_formula_-0.100000_0.100000,0.0000000201,-0.0000000397,0.0000000517,0.0000000517
14 legendre_formula_-0.100000_0.100000,0.0000000266,-0.0000000867,0.0000000895,0.0000000895
15 legendre_formula_-0.100000_0.100000,0.0000000208,-0.0000000519,0.0000000415,0.0000000519
16 legendre_formula_-0.100000_0.100000,0.0000000287,-0.0000000965,0.0000000885,0.0000000965
17 legendre_formula_-0.100000_0.100000,0.0000000222,-0.0000000420,0.0000000448,0.0000000448
18 legendre_formula_-0.100000_0.100000,0.0000000172,-0.0000000540,0.0000000410,0.0000000540
1 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-0.100000_0.100000,0.0000000201,-0.0000000553,0.0000000536,0.0000000553
2 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-0.100000_0.100000,0.0000000257,-0.0000000448,0.0000000429,0.0000000448
4 legendre_formula_-0.100000_0.100000,0.0000000261,-0.0000000573,0.0000000565,0.0000000573
5 legendre_formula_-0.100000_0.100000,0.0000000169,-0.0000000449,0.0000000569,0.0000000569
6 legendre_formula_-0.100000_0.100000,0.0000000223,-0.0000000409,0.0000000411,0.0000000411
7 legendre_formula_-0.100000_0.100000,0.0000000208,-0.0000000452,0.0000000535,0.0000000535
8 legendre_formula_-0.100000_0.100000,0.0000000125,-0.0000000274,0.0000000293,0.0000000293
9 legendre_formula_-0.100000_0.100000,0.0000000240,-0.0000000550,0.0000000538,0.0000000550
,0.0000000761,-0.0000003672,0.0000007134,0.0000007134
