"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:31:46 2019","BGRT","REL",0.0000000214,-0.0000000550,0.0000000471,0.0000000550,7,62
"Wed Jun  5 22:31:59 2019","BGRT","REL",0.0000000193,-0.0000000409,0.0000000429,0.0000000429,12,62
"Wed Jun  5 22:32:04 2019","BGRT","REL",0.0000000186,-0.0000000369,0.0000000376,0.0000000376,5,62
"Wed Jun  5 22:32:05 2019","BGRT","REL",0.0000000219,-0.0000000456,0.0000000501,0.0000000501,1,62
"Wed Jun  5 22:32:07 2019","BGRT","REL",0.0000000134,-0.0000000284,0.0000000300,0.0000000300,2,62
"Wed Jun  5 22:32:08 2019","BGRT","REL",0.0000000248,-0.0000000589,0.0000000539,0.0000000589,1,62
"Wed Jun  5 22:32:10 2019","BGRT","REL",0.0000000275,-0.0000000440,0.0000000465,0.0000000465,2,62
"Wed Jun  5 22:32:12 2019","BGRT","REL",0.0000000230,-0.0000000540,0.0000000463,0.0000000540,2,62
"Wed Jun  5 22:32:34 2019","BGRT","REL",0.0000000174,-0.0000000319,0.0000000320,0.0000000320,22,62
"Wed Jun  5 22:32:36 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:32:41 2019","BGRT","REL",0.0000000178,-0.0000000339,0.0000000363,0.0000000363,5,62
"Wed Jun  5 22:32:43 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:32:44 2019","BGRT","REL",0.0000000214,-0.0000000576,0.0000000369,0.0000000576,1,62
"Wed Jun  5 22:32:46 2019","BGRT","REL",0.0000000153,-0.0000000317,0.0000000281,0.0000000317,2,62
"Wed Jun  5 22:32:48 2019","BGRT","REL",0.0000000210,-0.0000000484,0.0000000446,0.0000000484,2,62
"Wed Jun  5 22:32:53 2019","BGRT","REL",0.0000000206,-0.0000000376,0.0000000393,0.0000000393,5,62
"Wed Jun  5 22:32:58 2019","BGRT","REL",0.0000000205,-0.0000000516,0.0000000524,0.0000000524,5,62
"Wed Jun  5 22:33:00 2019","BGRT","REL",0.0000000138,-0.0000000293,0.0000000287,0.0000000293,2,62
"Wed Jun  5 22:33:04 2019","BGRT","REL",0.0000000207,-0.0000000551,0.0000000418,0.0000000551,4,62
"Wed Jun  5 22:33:07 2019","BGRT","REL",0.0000000253,-0.0000000519,0.0000000506,0.0000000519,3,62
