"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000235,-0.0000000549,0.0000000507,0.0000000549
0.0000000229,-0.0000000503,0.0000000549,0.0000000549
0.0000000231,-0.0000000421,0.0000000361,0.0000000421
0.0000000217,-0.0000000529,0.0000000425,0.0000000529
0.0000000170,-0.0000000314,0.0000000315,0.0000000315
0.0000000199,-0.0000000493,0.0000000417,0.0000000493
0.0000000251,-0.0000000511,0.0000000501,0.0000000511
0.0000000197,-0.0000000414,0.0000000485,0.0000000485
0.0000000167,-0.0000000334,0.0000000352,0.0000000352
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000186,-0.0000000377,0.0000000377,0.0000000377
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000230,-0.0000000536,0.0000000533,0.0000000536
0.0000000163,-0.0000000291,0.0000000315,0.0000000315
0.0000000206,-0.0000000449,0.0000000572,0.0000000572
0.0000000194,-0.0000000385,0.0000000390,0.0000000390
0.0000000236,-0.0000000513,0.0000000490,0.0000000513
0.0000000147,-0.0000000296,0.0000000301,0.0000000301
0.0000000192,-0.0000000449,0.0000000413,0.0000000449
0.0000000243,-0.0000000545,0.0000000565,0.0000000565
