"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000168,-0.0000000443,0.0000000452,0.0000000452
0.0000000176,-0.0000000443,0.0000000388,0.0000000443
0.0000000232,-0.0000000417,0.0000000525,0.0000000525
0.0000000236,-0.0000000544,0.0000000449,0.0000000544
0.0000000218,-0.0000000465,0.0000000498,0.0000000498
0.0000000270,-0.0000000531,0.0000000502,0.0000000531
0.0000000203,-0.0000000546,0.0000000515,0.0000000546
0.0000000246,-0.0000000510,0.0000000570,0.0000000570
0.0000000223,-0.0000000557,0.0000000459,0.0000000557
0.0000000249,-0.0000000527,0.0000000547,0.0000000547
0.0000000205,-0.0000000470,0.0000000524,0.0000000524
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000214,-0.0000000464,0.0000000467,0.0000000467
0.0000000179,-0.0000000364,0.0000000471,0.0000000471
0.0000000202,-0.0000000415,0.0000000494,0.0000000494
0.0000000210,-0.0000000492,0.0000000547,0.0000000547
0.0000000249,-0.0000000475,0.0000000474,0.0000000475
0.0000000237,-0.0000000566,0.0000000556,0.0000000566
0.0000000225,-0.0000000537,0.0000000526,0.0000000537
0.0000000238,-0.0000000531,0.0000000545,0.0000000545
