"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:40:20 2019","BGRT","REL",0.0000000224,-0.0000000516,0.0000000447,0.0000000516,7,62
"Wed Jun  5 22:40:22 2019","BGRT","REL",0.0000011683,-0.0000029409,0.0000058517,0.0000058517,2,62
"Wed Jun  5 22:40:27 2019","BGRT","REL",0.0000000633,-0.0000000295,0.0000001431,0.0000001431,5,62
"Wed Jun  5 22:40:30 2019","BGRT","REL",0.0000001089,-0.0000008166,0.0000005149,0.0000008166,3,62
"Wed Jun  5 22:40:32 2019","BGRT","REL",0.0000000175,-0.0000000356,0.0000000370,0.0000000370,2,62
"Wed Jun  5 22:40:34 2019","BGRT","REL",0.0000000242,-0.0000000727,0.0000000743,0.0000000743,2,62
"Wed Jun  5 22:40:37 2019","BGRT","REL",0.0000000176,-0.0000000303,0.0000000303,0.0000000303,3,62
"Wed Jun  5 22:40:40 2019","BGRT","REL",0.0000000243,-0.0000000852,0.0000000531,0.0000000852,3,62
"Wed Jun  5 22:40:42 2019","BGRT","REL",0.0000000136,-0.0000000294,0.0000000294,0.0000000294,2,62
"Wed Jun  5 22:40:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:40:47 2019","BGRT","REL",0.0000000284,-0.0000000537,0.0000000542,0.0000000542,3,62
"Wed Jun  5 22:40:49 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:41:04 2019","BGRT","REL",0.0000000210,-0.0000000525,0.0000000504,0.0000000525,15,62
"Wed Jun  5 22:41:05 2019","BGRT","REL",0.0000000223,-0.0000000462,0.0000000448,0.0000000462,1,62
"Wed Jun  5 22:41:07 2019","BGRT","REL",0.0000000232,-0.0000000451,0.0000000464,0.0000000464,2,62
"Wed Jun  5 22:41:09 2019","BGRT","REL",0.0000000183,-0.0000000397,0.0000000366,0.0000000397,2,62
"Wed Jun  5 22:41:11 2019","BGRT","REL",0.0000000198,-0.0000000550,0.0000000434,0.0000000550,2,62
"Wed Jun  5 22:41:29 2019","BGRT","REL",0.0000000155,-0.0000000295,0.0000000275,0.0000000295,18,62
"Wed Jun  5 22:41:33 2019","BGRT","REL",0.0000223292,-0.0000485609,0.0001304396,0.0001304396,4,62
"Wed Jun  5 22:41:36 2019","BGRT","REL",0.0000005191,-0.0000006133,0.0000013738,0.0000013738,3,62
