0 hermite_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-1.01_-0.99,0.0000000522,-0.0000001163,0.0000001073,0.0000001163
11 hermite_formula_-1.01_-0.99,0.0000012749,-0.0000054993,0.0000031549,0.0000054993
12 hermite_formula_-1.01_-0.99,0.0000001121,-0.0000003187,0.0000003052,0.0000003187
13 hermite_formula_-1.01_-0.99,0.0000003852,-0.0000011261,0.0000010517,0.0000011261
14 hermite_formula_-1.01_-0.99,0.0000003195,-0.0000009040,0.0000009110,0.0000009110
16 hermite_formula_-1.01_-0.99,0.0000000574,-0.0000001417,0.0000001420,0.0000001420
17 hermite_formula_-1.01_-0.99,0.0000000575,-0.0000001734,0.0000001440,0.0000001734
18 hermite_formula_-1.01_-0.99,0.0000005495,-0.0000017848,0.0000014573,0.0000017848
1 hermite_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-1.01_-0.99,0.0000000172,-0.0000000384,0.0000000379,0.0000000384
2 hermite_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-1.01_-0.99,0.0000000826,-0.0000002569,0.0000002644,0.0000002644
4 hermite_formula_-1.01_-0.99,0.0000000210,-0.0000000476,0.0000000525,0.0000000525
5 hermite_formula_-1.01_-0.99,0.0000000222,-0.0000000488,0.0000000524,0.0000000524
6 hermite_formula_-1.01_-0.99,0.0000000594,-0.0000001393,0.0000001317,0.0000001393
7 hermite_formula_-1.01_-0.99,0.0000000273,-0.0000000584,0.0000000585,0.0000000585
9 hermite_formula_-1.01_-0.99,0.0000000496,-0.0000001101,0.0000001164,0.0000001164
,0.0000000739,-0.0000002530,0.0000001999,0.0000002530
