"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:33:51 2019","BGRT","REL",0.0000000663,-0.0000002511,0.0000002551,0.0000002551,4,62
"Wed Jun  5 22:34:02 2019","BGRT","REL",0.0000011887,-0.0000028801,0.0000024892,0.0000028801,11,62
"Wed Jun  5 22:34:10 2019","BGRT","REL",0.0000005935,-0.0000013563,0.0000013734,0.0000013734,8,62
"Wed Jun  5 22:34:14 2019","BGRT","REL",0.0000006253,-0.0000021695,0.0000020034,0.0000021695,4,62
"Wed Jun  5 22:34:28 2019","BGRT","REL",0.0000001162,-0.0000002955,0.0000003583,0.0000003583,14,62
"Wed Jun  5 22:34:42 2019","BGRT","REL",0.0000000427,-0.0000001347,0.0000001195,0.0000001347,14,62
"Wed Jun  5 22:34:49 2019","BGRT","REL",0.0000004918,-0.0000014303,0.0000012704,0.0000014303,7,62
"Wed Jun  5 22:34:55 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 22:34:58 2019","BGRT","REL",0.0000000185,-0.0000000387,0.0000000340,0.0000000387,3,62
"Wed Jun  5 22:35:02 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 22:35:08 2019","BGRT","REL",0.0000000401,-0.0000000913,0.0000001408,0.0000001408,6,62
"Wed Jun  5 22:35:13 2019","BGRT","REL",0.0000000362,-0.0000000895,0.0000000919,0.0000000919,5,62
"Wed Jun  5 22:35:15 2019","BGRT","REL",0.0000001418,-0.0000003866,0.0000003079,0.0000003866,2,62
"Wed Jun  5 22:35:21 2019","BGRT","REL",0.0000000566,-0.0000001356,0.0000001201,0.0000001356,6,62
"Wed Jun  5 22:35:29 2019","BGRT","REL",0.0000000645,-0.0000001571,0.0000001716,0.0000001716,8,62
"Wed Jun  5 22:35:38 2019","BGRT","REL",0.0000000489,-0.0000001003,0.0000001131,0.0000001131,9,62
