"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:43:52 2019","BGRT","REL",0.0000000209,-0.0000000396,0.0000000433,0.0000000433,4,62
"Wed Jun  5 22:43:54 2019","BGRT","REL",0.0000000212,-0.0000000437,0.0000000547,0.0000000547,2,62
"Wed Jun  5 22:43:57 2019","BGRT","REL",0.0000000231,-0.0000000625,0.0000000546,0.0000000625,3,62
"Wed Jun  5 22:43:59 2019","BGRT","REL",0.0000000223,-0.0000000563,0.0000000827,0.0000000827,2,62
"Wed Jun  5 22:44:03 2019","BGRT","REL",0.0000000244,-0.0000000512,0.0000000607,0.0000000607,4,62
"Wed Jun  5 22:44:06 2019","BGRT","REL",0.0000000308,-0.0000000715,0.0000000754,0.0000000754,3,62
"Wed Jun  5 22:44:08 2019","BGRT","REL",0.0000000213,-0.0000000513,0.0000000503,0.0000000513,2,62
"Wed Jun  5 22:44:11 2019","BGRT","REL",0.0000000232,-0.0000000472,0.0000000465,0.0000000472,2,62
"Wed Jun  5 22:44:14 2019","BGRT","REL",0.0000000267,-0.0000000854,0.0000000790,0.0000000854,3,62
"Wed Jun  5 22:44:16 2019","BGRT","REL",0.0000000281,-0.0000000596,0.0000000595,0.0000000596,2,62
"Wed Jun  5 22:44:18 2019","BGRT","REL",0.0000000322,-0.0000000573,0.0000000634,0.0000000634,2,62
"Wed Jun  5 22:44:22 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 22:44:24 2019","BGRT","REL",0.0000000233,-0.0000000596,0.0000000619,0.0000000619,2,62
"Wed Jun  5 22:44:26 2019","BGRT","REL",0.0000000287,-0.0000000653,0.0000000831,0.0000000831,2,62
"Wed Jun  5 22:44:30 2019","BGRT","REL",0.0000000180,-0.0000000369,0.0000000351,0.0000000369,4,62
"Wed Jun  5 22:44:32 2019","BGRT","REL",0.0000000246,-0.0000000514,0.0000000528,0.0000000528,2,62
"Wed Jun  5 22:44:35 2019","BGRT","REL",0.0000000205,-0.0000000451,0.0000000487,0.0000000487,3,62
"Wed Jun  5 22:44:37 2019","BGRT","REL",0.0000000165,-0.0000000424,0.0000000360,0.0000000424,2,62
"Wed Jun  5 22:44:39 2019","BGRT","REL",0.0000000267,-0.0000000662,0.0000000619,0.0000000662,2,62
"Wed Jun  5 22:44:42 2019","BGRT","REL",0.0000000254,-0.0000000654,0.0000000735,0.0000000735,3,62
