0 laguerre_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.1_-0.9,0.0000000270,-0.0000000706,0.0000000566,0.0000000706
11 laguerre_formula_-1.1_-0.9,0.0000000277,-0.0000000638,0.0000000693,0.0000000693
12 laguerre_formula_-1.1_-0.9,0.0000000252,-0.0000000716,0.0000000691,0.0000000716
13 laguerre_formula_-1.1_-0.9,0.0000000241,-0.0000000727,0.0000000619,0.0000000727
14 laguerre_formula_-1.1_-0.9,0.0000000248,-0.0000000668,0.0000000657,0.0000000668
15 laguerre_formula_-1.1_-0.9,0.0000000242,-0.0000000657,0.0000000524,0.0000000657
16 laguerre_formula_-1.1_-0.9,0.0000000231,-0.0000000688,0.0000000528,0.0000000688
17 laguerre_formula_-1.1_-0.9,0.0000000266,-0.0000000679,0.0000000632,0.0000000679
18 laguerre_formula_-1.1_-0.9,0.0000000268,-0.0000000836,0.0000000595,0.0000000836
1 laguerre_formula_-1.1_-0.9,0.0000000221,-0.0000000596,0.0000000584,0.0000000596
19 laguerre_formula_-1.1_-0.9,0.0000000271,-0.0000000791,0.0000000712,0.0000000791
2 laguerre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-1.1_-0.9,0.0000000630,-0.0000003287,0.0000002162,0.0000003287
4 laguerre_formula_-1.1_-0.9,0.0000000271,-0.0000000534,0.0000000485,0.0000000534
5 laguerre_formula_-1.1_-0.9,0.0000000225,-0.0000000505,0.0000000550,0.0000000550
6 laguerre_formula_-1.1_-0.9,0.0000000218,-0.0000000526,0.0000000486,0.0000000526
7 laguerre_formula_-1.1_-0.9,0.0000000206,-0.0000000430,0.0000000472,0.0000000472
8 laguerre_formula_-1.1_-0.9,0.0000000153,-0.0000000337,0.0000000331,0.0000000337
9 laguerre_formula_-1.1_-0.9,0.0000000268,-0.0000000717,0.0000000723,0.0000000723
,0.0000000264,-0.0000000874,0.0000000617,0.0000000874
