"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:41:32 2019","BGRT","REL",0.0000001358,-0.0000003093,0.0000003246,0.0000003246,4,62
"Wed Jun  5 22:41:36 2019","BGRT","REL",0.0000033611,-0.0000079498,0.0000069987,0.0000079498,4,62
"Wed Jun  5 22:41:40 2019","BGRT","REL",0.0000000153,-0.0000000469,0.0000000263,0.0000000469,4,62
"Wed Jun  5 22:41:42 2019","BGRT","REL",0.0000036273,-0.0000084510,0.0000074962,0.0000084510,2,62
"Wed Jun  5 22:41:43 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 22:41:45 2019","BGRT","REL",0.0000007421,-0.0000015084,0.0000016997,0.0000016997,2,62
"Wed Jun  5 22:41:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:41:50 2019","BGRT","REL",0.0000000259,-0.0000000641,0.0000000542,0.0000000641,3,62
"Wed Jun  5 22:41:53 2019","BGRT","REL",0.0000000891,-0.0000002252,0.0000001870,0.0000002252,3,62
"Wed Jun  5 22:42:14 2019","BGRT","REL",0.0000000256,-0.0000000479,0.0000000463,0.0000000479,21,62
"Wed Jun  5 22:42:16 2019","BGRT","REL",0.0000000250,-0.0000000625,0.0000000649,0.0000000649,2,62
"Wed Jun  5 22:42:31 2019","BGRT","REL",0.0000000246,-0.0000000505,0.0000000570,0.0000000570,15,62
