"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:48:23 2019","BGRT","REL",0.0000132423,-0.0000361656,0.0003079284,0.0003079284,5,62
"Wed Jun  5 22:48:24 2019","BGRT","REL",0.0000406435,-0.0008908618,0.0001073086,0.0008908618,1,62
"Wed Jun  5 22:48:28 2019","BGRT","REL",0.0000063371,-0.0000255262,0.0000304712,0.0000304712,4,62
"Wed Jun  5 22:48:33 2019","BGRT","REL",0.0000111432,-0.0000571734,0.0000633723,0.0000633723,5,62
"Wed Jun  5 22:48:36 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 22:48:38 2019","BGRT","REL",0.0000093142,-0.0003859069,0.0000202379,0.0003859069,2,62
"Wed Jun  5 22:48:40 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:48:52 2019","BGRT","REL",0.0000025545,-0.0000381467,0.0000318077,0.0000381467,12,62
"Wed Jun  5 22:48:53 2019","BGRT","REL",0.0000001993,-0.0000009903,0.0000010018,0.0000010018,1,62
"Wed Jun  5 22:49:02 2019","BGRT","REL",0.0000000174,-0.0000000390,0.0000000441,0.0000000441,9,62
"Wed Jun  5 22:49:05 2019","BGRT","REL",0.0000000847,-0.0000002501,0.0000002473,0.0000002501,3,62
"Wed Jun  5 22:49:08 2019","BGRT","REL",0.0000000207,-0.0000000453,0.0000000534,0.0000000534,3,62
"Wed Jun  5 22:49:10 2019","BGRT","REL",0.0000000229,-0.0000000569,0.0000000551,0.0000000569,2,62
