0 legendre_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_0.99_1.01,0.0000019468,-0.0000037846,0.0000045088,0.0000045088
16 legendre_formula_0.99_1.01,0.0000695865,-0.0003017151,0.0002129159,0.0003017151
18 legendre_formula_0.99_1.01,0.0000004490,-0.0000010678,0.0000009379,0.0000010678
1 legendre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_0.99_1.01,0.0000006435,-0.0000012281,0.0000015144,0.0000015144
2 legendre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_0.99_1.01,0.0000001535,-0.0000003000,0.0000003893,0.0000003893
4 legendre_formula_0.99_1.01,0.0000003224,-0.0000007544,0.0000007535,0.0000007544
5 legendre_formula_0.99_1.01,0.0000000287,-0.0000000576,0.0000000577,0.0000000577
6 legendre_formula_0.99_1.01,0.0000000915,-0.0000002132,0.0000002168,0.0000002168
7 legendre_formula_0.99_1.01,0.0000000574,-0.0000001655,0.0000001828,0.0000001828
,0.0000000308,-0.0000000755,0.0000000851,0.0000000851
