"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:45:34 2019","BGRT","REL",0.0000135126,-0.0001905202,0.0001699147,0.0001905202,1,62
"Wed Jun  5 22:45:37 2019","BGRT","REL",0.0000883866,-0.0005851055,0.0015906712,0.0015906712,3,62
"Wed Jun  5 22:45:41 2019","BGRT","REL",0.0000003888,-0.0000012790,0.0000025870,0.0000025870,4,62
"Wed Jun  5 22:45:45 2019","BGRT","REL",0.0000109519,-0.0002641360,0.0000876822,0.0002641360,4,62
"Wed Jun  5 22:45:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 22:45:53 2019","BGRT","REL",0.0000015075,-0.0000152660,0.0000065760,0.0000152660,2,62
"Wed Jun  5 22:45:54 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 22:45:58 2019","BGRT","REL",0.0000010395,-0.0000084707,0.0000054527,0.0000084707,4,62
"Wed Jun  5 22:46:01 2019","BGRT","REL",0.0000011171,-0.0000015043,0.0000359495,0.0000359495,3,62
"Wed Jun  5 22:46:03 2019","BGRT","REL",0.0000000210,-0.0000000495,0.0000000575,0.0000000575,2,62
"Wed Jun  5 22:46:04 2019","BGRT","REL",0.0000000567,-0.0000002354,0.0000001616,0.0000002354,1,62
"Wed Jun  5 22:46:06 2019","BGRT","REL",0.0000000633,-0.0000001537,0.0000001551,0.0000001551,2,62
"Wed Jun  5 22:46:11 2019","BGRT","REL",0.0000000241,-0.0000000764,0.0000000644,0.0000000764,5,62
