"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:36:24 2019","BGRT","REL",0.0000000257,-0.0000000467,0.0000000449,0.0000000467,2,62
"Wed Jun  5 22:36:27 2019","BGRT","REL",0.0000000271,-0.0000000426,0.0000000507,0.0000000507,3,62
"Wed Jun  5 22:36:30 2019","BGRT","REL",0.0000000287,-0.0000000565,0.0000000537,0.0000000565,3,62
"Wed Jun  5 22:36:35 2019","BGRT","REL",0.0000000254,-0.0000000457,0.0000000488,0.0000000488,5,62
"Wed Jun  5 22:36:39 2019","BGRT","REL",0.0000000231,-0.0000000565,0.0000000569,0.0000000569,4,62
"Wed Jun  5 22:36:44 2019","BGRT","REL",0.0000000221,-0.0000000409,0.0000000400,0.0000000409,2,62
"Wed Jun  5 22:36:48 2019","BGRT","REL",0.0000000154,-0.0000000323,0.0000000326,0.0000000326,4,62
"Wed Jun  5 22:36:50 2019","BGRT","REL",0.0000000255,-0.0000000548,0.0000000557,0.0000000557,2,62
"Wed Jun  5 22:36:55 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 22:37:08 2019","BGRT","REL",0.0000000171,-0.0000000365,0.0000000351,0.0000000365,11,62
"Wed Jun  5 22:37:12 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 22:37:15 2019","BGRT","REL",0.0000000153,-0.0000000320,0.0000000329,0.0000000329,3,62
"Wed Jun  5 22:37:21 2019","BGRT","REL",0.0000000202,-0.0000000390,0.0000000374,0.0000000390,6,62
"Wed Jun  5 22:37:35 2019","BGRT","REL",0.0000000222,-0.0000000488,0.0000000524,0.0000000524,14,62
"Wed Jun  5 22:37:43 2019","BGRT","REL",0.0000000229,-0.0000000481,0.0000000462,0.0000000481,8,62
"Wed Jun  5 22:37:50 2019","BGRT","REL",0.0000000273,-0.0000000584,0.0000000585,0.0000000585,7,62
"Wed Jun  5 22:37:52 2019","BGRT","REL",0.0000000263,-0.0000000578,0.0000000590,0.0000000590,2,62
"Wed Jun  5 22:37:56 2019","BGRT","REL",0.0000000183,-0.0000000321,0.0000000307,0.0000000321,4,62
