"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000196,-0.0000000478,0.0000000467,0.0000000478
0.0000000175,-0.0000000485,0.0000000403,0.0000000485
0.0000000233,-0.0000000498,0.0000000449,0.0000000498
0.0000000218,-0.0000000501,0.0000000458,0.0000000501
0.0000000193,-0.0000000540,0.0000000569,0.0000000569
0.0000000224,-0.0000000542,0.0000000420,0.0000000542
0.0000000175,-0.0000000355,0.0000000341,0.0000000355
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000197,-0.0000000559,0.0000000593,0.0000000593
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000217,-0.0000000538,0.0000000539,0.0000000539
0.0000000213,-0.0000000454,0.0000000405,0.0000000454
0.0000000218,-0.0000000472,0.0000000496,0.0000000496
0.0000000239,-0.0000000565,0.0000000549,0.0000000565
0.0000000210,-0.0000000483,0.0000000495,0.0000000495
0.0000000213,-0.0000000499,0.0000000491,0.0000000499
0.0000000198,-0.0000000486,0.0000000488,0.0000000488
