0 hermite_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.95_1.05,0.0000000245,-0.0000000517,0.0000000455,0.0000000517
11 hermite_formula_0.95_1.05,0.0000000214,-0.0000000508,0.0000000402,0.0000000508
12 hermite_formula_0.95_1.05,0.0000000234,-0.0000000536,0.0000000557,0.0000000557
13 hermite_formula_0.95_1.05,0.0000000229,-0.0000000546,0.0000000536,0.0000000546
16 hermite_formula_0.95_1.05,0.0000000235,-0.0000000523,0.0000000569,0.0000000569
17 hermite_formula_0.95_1.05,0.0000000162,-0.0000000314,0.0000000351,0.0000000351
18 hermite_formula_0.95_1.05,0.0000000215,-0.0000000479,0.0000000516,0.0000000516
1 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.95_1.05,0.0000000189,-0.0000000445,0.0000000455,0.0000000455
2 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.95_1.05,0.0000000176,-0.0000000481,0.0000000406,0.0000000481
4 hermite_formula_0.95_1.05,0.0000000239,-0.0000000421,0.0000000420,0.0000000421
5 hermite_formula_0.95_1.05,0.0000000253,-0.0000000518,0.0000000491,0.0000000518
6 hermite_formula_0.95_1.05,0.0000000254,-0.0000000491,0.0000000502,0.0000000502
7 hermite_formula_0.95_1.05,0.0000000217,-0.0000000531,0.0000000517,0.0000000531
9 hermite_formula_0.95_1.05,0.0000000242,-0.0000000536,0.0000000542,0.0000000542
,0.0000000186,-0.0000000312,0.0000000358,0.0000000358
