"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:34:59 2019","BGRT","REL",0.0000000216,-0.0000000462,0.0000000456,0.0000000462,2,62
"Wed Jun  5 22:35:02 2019","BGRT","REL",0.0000000248,-0.0000000479,0.0000000446,0.0000000479,3,62
"Wed Jun  5 22:35:05 2019","BGRT","REL",0.0000000296,-0.0000000577,0.0000000574,0.0000000577,3,62
"Wed Jun  5 22:35:11 2019","BGRT","REL",0.0000000252,-0.0000000494,0.0000000461,0.0000000494,6,62
"Wed Jun  5 22:35:15 2019","BGRT","REL",0.0000000198,-0.0000000389,0.0000000391,0.0000000391,4,62
"Wed Jun  5 22:35:21 2019","BGRT","REL",0.0000000166,-0.0000000329,0.0000000310,0.0000000329,6,62
"Wed Jun  5 22:35:27 2019","BGRT","REL",0.0000000203,-0.0000000591,0.0000000530,0.0000000591,6,62
"Wed Jun  5 22:35:33 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 22:35:37 2019","BGRT","REL",0.0000000185,-0.0000000387,0.0000000340,0.0000000387,4,62
"Wed Jun  5 22:35:41 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 22:35:45 2019","BGRT","REL",0.0000000157,-0.0000000315,0.0000000316,0.0000000316,4,62
"Wed Jun  5 22:36:00 2019","BGRT","REL",0.0000000209,-0.0000000401,0.0000000410,0.0000000410,13,62
"Wed Jun  5 22:36:08 2019","BGRT","REL",0.0000000233,-0.0000000557,0.0000000565,0.0000000565,8,62
"Wed Jun  5 22:36:10 2019","BGRT","REL",0.0000000250,-0.0000000455,0.0000000476,0.0000000476,2,62
"Wed Jun  5 22:36:16 2019","BGRT","REL",0.0000000252,-0.0000000499,0.0000000570,0.0000000570,6,62
"Wed Jun  5 22:36:19 2019","BGRT","REL",0.0000000263,-0.0000000592,0.0000000547,0.0000000592,3,62
