"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000216,-0.0000000462,0.0000000456,0.0000000462
0.0000000248,-0.0000000479,0.0000000446,0.0000000479
0.0000000296,-0.0000000577,0.0000000574,0.0000000577
0.0000000252,-0.0000000494,0.0000000461,0.0000000494
0.0000000198,-0.0000000389,0.0000000391,0.0000000391
0.0000000166,-0.0000000329,0.0000000310,0.0000000329
0.0000000203,-0.0000000591,0.0000000530,0.0000000591
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000185,-0.0000000387,0.0000000340,0.0000000387
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000157,-0.0000000315,0.0000000316,0.0000000316
0.0000000209,-0.0000000401,0.0000000410,0.0000000410
0.0000000233,-0.0000000557,0.0000000565,0.0000000565
0.0000000250,-0.0000000455,0.0000000476,0.0000000476
0.0000000252,-0.0000000499,0.0000000570,0.0000000570
0.0000000263,-0.0000000592,0.0000000547,0.0000000592
