"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:44:27 2019","BGRT","REL",0.0000000209,-0.0000000421,0.0000000437,0.0000000437,2,62
"Wed Jun  5 22:44:29 2019","BGRT","REL",0.0000000203,-0.0000000348,0.0000000400,0.0000000400,2,62
"Wed Jun  5 22:44:31 2019","BGRT","REL",0.0000000226,-0.0000000484,0.0000000556,0.0000000556,2,62
"Wed Jun  5 22:44:34 2019","BGRT","REL",0.0000000196,-0.0000000556,0.0000000568,0.0000000568,3,62
"Wed Jun  5 22:44:37 2019","BGRT","REL",0.0000000225,-0.0000000436,0.0000000448,0.0000000448,3,62
"Wed Jun  5 22:44:40 2019","BGRT","REL",0.0000000267,-0.0000000528,0.0000000569,0.0000000569,3,62
"Wed Jun  5 22:44:41 2019","BGRT","REL",0.0000000166,-0.0000000342,0.0000000388,0.0000000388,1,62
"Wed Jun  5 22:44:45 2019","BGRT","REL",0.0000000233,-0.0000000426,0.0000000476,0.0000000476,3,62
"Wed Jun  5 22:44:46 2019","BGRT","REL",0.0000000216,-0.0000000544,0.0000000565,0.0000000565,1,62
"Wed Jun  5 22:44:48 2019","BGRT","REL",0.0000000281,-0.0000000596,0.0000000595,0.0000000596,1,62
"Wed Jun  5 22:44:51 2019","BGRT","REL",0.0000000300,-0.0000000532,0.0000000524,0.0000000532,3,62
"Wed Jun  5 22:44:53 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:44:56 2019","BGRT","REL",0.0000000187,-0.0000000359,0.0000000360,0.0000000360,3,62
"Wed Jun  5 22:44:58 2019","BGRT","REL",0.0000000267,-0.0000000526,0.0000000496,0.0000000526,2,62
"Wed Jun  5 22:45:01 2019","BGRT","REL",0.0000000185,-0.0000000379,0.0000000375,0.0000000379,3,62
"Wed Jun  5 22:45:03 2019","BGRT","REL",0.0000000309,-0.0000000567,0.0000000517,0.0000000567,2,62
"Wed Jun  5 22:45:07 2019","BGRT","REL",0.0000000234,-0.0000000416,0.0000000411,0.0000000416,2,62
"Wed Jun  5 22:45:08 2019","BGRT","REL",0.0000000161,-0.0000000351,0.0000000328,0.0000000351,1,62
"Wed Jun  5 22:45:12 2019","BGRT","REL",0.0000000233,-0.0000000481,0.0000000526,0.0000000526,4,62
"Wed Jun  5 22:45:15 2019","BGRT","REL",0.0000000210,-0.0000000557,0.0000000563,0.0000000563,3,62
