"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:41:06 2019","BGRT","REL",0.0000000221,-0.0000000515,0.0000000587,0.0000000587,2,62
"Wed Jun  5 22:41:08 2019","BGRT","REL",0.0000000192,-0.0000000402,0.0000000486,0.0000000486,2,62
"Wed Jun  5 22:41:10 2019","BGRT","REL",0.0000000231,-0.0000000498,0.0000000543,0.0000000543,2,62
"Wed Jun  5 22:41:13 2019","BGRT","REL",0.0000000184,-0.0000000494,0.0000000536,0.0000000536,3,62
"Wed Jun  5 22:41:14 2019","BGRT","REL",0.0000000158,-0.0000000318,0.0000000377,0.0000000377,1,62
"Wed Jun  5 22:41:29 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,15,62
"Wed Jun  5 22:41:32 2019","BGRT","REL",0.0000000189,-0.0000000507,0.0000000447,0.0000000507,3,62
"Wed Jun  5 22:41:36 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 22:41:39 2019","BGRT","REL",0.0000000231,-0.0000000462,0.0000000540,0.0000000540,3,62
"Wed Jun  5 22:41:50 2019","BGRT","REL",0.0000000238,-0.0000000531,0.0000000556,0.0000000556,11,62
"Wed Jun  5 22:41:53 2019","BGRT","REL",0.0000000243,-0.0000000469,0.0000000462,0.0000000469,3,62
"Wed Jun  5 22:42:15 2019","BGRT","REL",0.0000000186,-0.0000000431,0.0000000432,0.0000000432,21,62
"Wed Jun  5 22:42:18 2019","BGRT","REL",0.0000000201,-0.0000000507,0.0000000470,0.0000000507,3,62
