"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000221,-0.0000000515,0.0000000587,0.0000000587
0.0000000192,-0.0000000402,0.0000000486,0.0000000486
0.0000000231,-0.0000000498,0.0000000543,0.0000000543
0.0000000184,-0.0000000494,0.0000000536,0.0000000536
0.0000000158,-0.0000000318,0.0000000377,0.0000000377
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000189,-0.0000000507,0.0000000447,0.0000000507
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000231,-0.0000000462,0.0000000540,0.0000000540
0.0000000238,-0.0000000531,0.0000000556,0.0000000556
0.0000000243,-0.0000000469,0.0000000462,0.0000000469
0.0000000186,-0.0000000431,0.0000000432,0.0000000432
0.0000000201,-0.0000000507,0.0000000470,0.0000000507
