0 laguerre_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
11 laguerre_formula_0.99_1.01,0.0000000241,-0.0000000437,0.0000000469,0.0000000469
16 laguerre_formula_0.99_1.01,0.0000000192,-0.0000000573,0.0000000505,0.0000000573
17 laguerre_formula_0.99_1.01,0.0000000170,-0.0000000306,0.0000000305,0.0000000306
18 laguerre_formula_0.99_1.01,0.0000000183,-0.0000000346,0.0000000338,0.0000000346
1 laguerre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_0.99_1.01,0.0000000251,-0.0000000523,0.0000000497,0.0000000523
3 laguerre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4 laguerre_formula_0.99_1.01,0.0000000245,-0.0000000506,0.0000000592,0.0000000592
5 laguerre_formula_0.99_1.01,0.0000000150,-0.0000000313,0.0000000318,0.0000000318
6 laguerre_formula_0.99_1.01,0.0000000248,-0.0000000475,0.0000000464,0.0000000475
7 laguerre_formula_0.99_1.01,0.0000000200,-0.0000000400,0.0000000401,0.0000000401
,0.0000000246,-0.0000000505,0.0000000570,0.0000000570
