"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:49:04 2019","BGRT","REL",0.0000000500,-0.0000001109,0.0000002322,0.0000002322,9,62
"Wed Jun  5 22:49:06 2019","BGRT","REL",0.0000000200,-0.0000000426,0.0000000529,0.0000000529,2,62
"Wed Jun  5 22:49:09 2019","BGRT","REL",0.0000000237,-0.0000000568,0.0000000529,0.0000000568,3,62
"Wed Jun  5 22:49:11 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:49:14 2019","BGRT","REL",0.0000000203,-0.0000000567,0.0000000427,0.0000000567,3,62
"Wed Jun  5 22:49:15 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 22:49:18 2019","BGRT","REL",0.0000000234,-0.0000000512,0.0000000421,0.0000000512,2,62
"Wed Jun  5 22:49:20 2019","BGRT","REL",0.0000000214,-0.0000000518,0.0000000497,0.0000000518,2,62
"Wed Jun  5 22:49:22 2019","BGRT","REL",0.0000000202,-0.0000000472,0.0000000479,0.0000000479,2,62
"Wed Jun  5 22:49:27 2019","BGRT","REL",0.0000000255,-0.0000000529,0.0000000575,0.0000000575,5,62
"Wed Jun  5 22:49:29 2019","BGRT","REL",0.0000000213,-0.0000000525,0.0000000533,0.0000000533,2,62
"Wed Jun  5 22:49:33 2019","BGRT","REL",0.0000000237,-0.0000000458,0.0000000556,0.0000000556,4,62
