0 legendre_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_0.99_1.01,0.0000000239,-0.0000000524,0.0000000492,0.0000000524
16 legendre_formula_0.99_1.01,0.0000000221,-0.0000000495,0.0000000545,0.0000000545
18 legendre_formula_0.99_1.01,0.0000000214,-0.0000000535,0.0000000537,0.0000000537
1 legendre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_0.99_1.01,0.0000000205,-0.0000000460,0.0000000439,0.0000000460
2 legendre_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_0.99_1.01,0.0000000202,-0.0000000519,0.0000000468,0.0000000519
4 legendre_formula_0.99_1.01,0.0000000270,-0.0000000448,0.0000000553,0.0000000553
5 legendre_formula_0.99_1.01,0.0000000287,-0.0000000576,0.0000000577,0.0000000577
6 legendre_formula_0.99_1.01,0.0000000246,-0.0000000531,0.0000000557,0.0000000557
7 legendre_formula_0.99_1.01,0.0000000249,-0.0000000533,0.0000000542,0.0000000542
,0.0000000257,-0.0000000570,0.0000000502,0.0000000570
