"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000239,-0.0000000524,0.0000000492,0.0000000524
0.0000000221,-0.0000000495,0.0000000545,0.0000000545
0.0000000214,-0.0000000535,0.0000000537,0.0000000537
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000205,-0.0000000460,0.0000000439,0.0000000460
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000202,-0.0000000519,0.0000000468,0.0000000519
0.0000000270,-0.0000000448,0.0000000553,0.0000000553
0.0000000287,-0.0000000576,0.0000000577,0.0000000577
0.0000000246,-0.0000000531,0.0000000557,0.0000000557
0.0000000249,-0.0000000533,0.0000000542,0.0000000542
0.0000000257,-0.0000000570,0.0000000502,0.0000000570
