"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:46:31 2019","BGRT","REL",0.0000000191,-0.0000000410,0.0000000408,0.0000000410,2,62
"Wed Jun  5 22:46:32 2019","BGRT","REL",0.0000000211,-0.0000000524,0.0000000513,0.0000000524,1,62
"Wed Jun  5 22:46:34 2019","BGRT","REL",0.0000000219,-0.0000000383,0.0000000488,0.0000000488,2,62
"Wed Jun  5 22:46:36 2019","BGRT","REL",0.0000000192,-0.0000000425,0.0000000549,0.0000000549,2,62
"Wed Jun  5 22:46:38 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:46:41 2019","BGRT","REL",0.0000000208,-0.0000000414,0.0000000418,0.0000000418,3,62
"Wed Jun  5 22:46:43 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 22:46:44 2019","BGRT","REL",0.0000000228,-0.0000000536,0.0000000572,0.0000000572,1,62
"Wed Jun  5 22:46:46 2019","BGRT","REL",0.0000000219,-0.0000000439,0.0000000442,0.0000000442,2,62
"Wed Jun  5 22:46:48 2019","BGRT","REL",0.0000000210,-0.0000000495,0.0000000575,0.0000000575,2,62
"Wed Jun  5 22:46:51 2019","BGRT","REL",0.0000000227,-0.0000000522,0.0000000583,0.0000000583,3,62
"Wed Jun  5 22:46:53 2019","BGRT","REL",0.0000000235,-0.0000000538,0.0000000498,0.0000000538,2,62
"Wed Jun  5 22:46:55 2019","BGRT","REL",0.0000000214,-0.0000000561,0.0000000509,0.0000000561,2,62
