"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:35:27 2019","BGRT","REL",0.0000000009,0.0000000000,0.0000000560,0.0000000560,1,62
"Wed Jun  5 23:35:29 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:35:31 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:35:33 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:35:34 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:35:35 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:35:40 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:35:42 2019","BGRT","REL",0.0000000008,0.0000000000,0.0000000473,0.0000000473,2,62
"Wed Jun  5 23:35:43 2019","BGRT","REL",0.0000000001,0.0000000000,0.0000000070,0.0000000070,1,62
"Wed Jun  5 23:35:44 2019","BGRT","REL",0.0000000162,-0.0000000565,0.0000000498,0.0000000565,1,62
"Wed Jun  5 23:35:45 2019","BGRT","REL",0.0000000005,0.0000000000,0.0000000314,0.0000000314,1,62
"Wed Jun  5 23:35:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:35:48 2019","BGRT","REL",0.0000000068,-0.0000001273,0.0000001162,0.0000001273,1,62
"Wed Jun  5 23:35:49 2019","BGRT","REL",0.0000000062,-0.0000000340,0.0000000540,0.0000000540,1,62
"Wed Jun  5 23:35:51 2019","BGRT","REL",0.0000000469,-0.0000000890,0.0000001576,0.0000001576,2,62
"Wed Jun  5 23:35:53 2019","BGRT","REL",0.0000000394,-0.0000001294,0.0000001329,0.0000001329,2,62
"Wed Jun  5 23:35:54 2019","BGRT","REL",0.0000000235,-0.0000000476,0.0000000471,0.0000000476,1,62
"Wed Jun  5 23:35:56 2019","BGRT","REL",0.0000000275,-0.0000000584,0.0000000954,0.0000000954,2,62
"Wed Jun  5 23:35:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:35:59 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
