0 hermite_formula_-10.000000_10.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-10.000000_10.000000,0.0000000214,-0.0000000501,0.0000000430,0.0000000501
11 hermite_formula_-10.000000_10.000000,0.0000000244,-0.0000000499,0.0000000491,0.0000000499
12 hermite_formula_-10.000000_10.000000,0.0000000210,-0.0000000476,0.0000000581,0.0000000581
13 hermite_formula_-10.000000_10.000000,0.0000000221,-0.0000000565,0.0000000501,0.0000000565
14 hermite_formula_-10.000000_10.000000,0.0000000215,-0.0000000449,0.0000000443,0.0000000449
15 hermite_formula_-10.000000_10.000000,0.0000000210,-0.0000000525,0.0000000427,0.0000000525
16 hermite_formula_-10.000000_10.000000,0.0000000222,-0.0000000348,0.0000000558,0.0000000558
17 hermite_formula_-10.000000_10.000000,0.0000000268,-0.0000000528,0.0000000570,0.0000000570
18 hermite_formula_-10.000000_10.000000,0.0000000216,-0.0000000521,0.0000000492,0.0000000521
1 hermite_formula_-10.000000_10.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-10.000000_10.000000,0.0000000222,-0.0000000538,0.0000000548,0.0000000548
2 hermite_formula_-10.000000_10.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-10.000000_10.000000,0.0000000224,-0.0000000471,0.0000000509,0.0000000509
4 hermite_formula_-10.000000_10.000000,0.0000000218,-0.0000000480,0.0000000494,0.0000000494
5 hermite_formula_-10.000000_10.000000,0.0000000228,-0.0000000582,0.0000000542,0.0000000582
6 hermite_formula_-10.000000_10.000000,0.0000000227,-0.0000000525,0.0000000470,0.0000000525
7 hermite_formula_-10.000000_10.000000,0.0000000208,-0.0000000507,0.0000000463,0.0000000507
8 hermite_formula_-10.000000_10.000000,0.0000000228,-0.0000000516,0.0000000472,0.0000000516
9 hermite_formula_-10.000000_10.000000,0.0000000203,-0.0000000472,0.0000000503,0.0000000503
,0.0000000242,-0.0000000508,0.0000000553,0.0000000553
