"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000193,-0.0000000443,0.0000000481,0.0000000481
0.0000000242,-0.0000000535,0.0000000536,0.0000000536
0.0000000194,-0.0000000577,0.0000000397,0.0000000577
0.0000000208,-0.0000000440,0.0000000469,0.0000000469
0.0000000217,-0.0000000530,0.0000000540,0.0000000540
0.0000000205,-0.0000000451,0.0000000473,0.0000000473
0.0000000246,-0.0000000578,0.0000000436,0.0000000578
0.0000000193,-0.0000000502,0.0000000460,0.0000000502
0.0000000211,-0.0000000525,0.0000000555,0.0000000555
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000236,-0.0000000586,0.0000000534,0.0000000586
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000203,-0.0000000574,0.0000000471,0.0000000574
0.0000000190,-0.0000000451,0.0000000537,0.0000000537
0.0000000194,-0.0000000411,0.0000000449,0.0000000449
0.0000000231,-0.0000000547,0.0000000521,0.0000000547
0.0000000261,-0.0000000491,0.0000000479,0.0000000491
0.0000000212,-0.0000000529,0.0000000446,0.0000000529
0.0000000235,-0.0000000572,0.0000000433,0.0000000572
0.0000000253,-0.0000000493,0.0000000492,0.0000000493
