"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:31:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:31:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:31:58 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,11,62
"Wed Jun  5 23:32:05 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,7,62
"Wed Jun  5 23:32:13 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,8,62
"Wed Jun  5 23:32:22 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,9,62
"Wed Jun  5 23:32:39 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,17,62
"Wed Jun  5 23:32:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:32:47 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:32:48 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:32:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:33:00 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,10,62
"Wed Jun  5 23:33:12 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,12,62
"Wed Jun  5 23:33:18 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 23:33:21 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:33:23 2019","BGRT","REL",0.0000000050,-0.0000000461,0.0000000394,0.0000000461,2,62
"Wed Jun  5 23:33:30 2019","BGRT","REL",0.0000000198,-0.0000000493,0.0000000492,0.0000000493,6,62
"Wed Jun  5 23:33:38 2019","BGRT","REL",0.0000000209,-0.0000000554,0.0000000431,0.0000000554,8,62
"Wed Jun  5 23:33:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:33:51 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,7,62
