"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:54:30 2019","BGRT","REL",0.0000000198,-0.0000000480,0.0000000552,0.0000000552,1,62
"Wed Jun  5 23:54:34 2019","BGRT","REL",0.0000000029,-0.0000000521,0.0000000307,0.0000000521,4,62
"Wed Jun  5 23:54:37 2019","BGRT","REL",0.0000000044,-0.0000000253,0.0000000515,0.0000000515,3,62
"Wed Jun  5 23:54:39 2019","BGRT","REL",0.0000000059,-0.0000000383,0.0000000465,0.0000000465,2,62
"Wed Jun  5 23:54:41 2019","BGRT","REL",0.0000000081,-0.0000000367,0.0000000437,0.0000000437,2,62
"Wed Jun  5 23:54:45 2019","BGRT","REL",0.0000000108,-0.0000000487,0.0000000504,0.0000000504,4,62
"Wed Jun  5 23:54:47 2019","BGRT","REL",0.0000000181,-0.0000000498,0.0000000475,0.0000000498,2,62
"Wed Jun  5 23:54:50 2019","BGRT","REL",0.0000000228,-0.0000000507,0.0000000550,0.0000000550,3,62
"Wed Jun  5 23:54:52 2019","BGRT","REL",0.0000000209,-0.0000000523,0.0000000501,0.0000000523,2,62
"Wed Jun  5 23:54:54 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:54:55 2019","BGRT","REL",0.0000000208,-0.0000000462,0.0000000534,0.0000000534,1,62
"Wed Jun  5 23:54:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:54:59 2019","BGRT","REL",0.0000000190,-0.0000000417,0.0000000427,0.0000000427,2,62
"Wed Jun  5 23:55:00 2019","BGRT","REL",0.0000000226,-0.0000000456,0.0000000478,0.0000000478,1,62
"Wed Jun  5 23:55:02 2019","BGRT","REL",0.0000000222,-0.0000000481,0.0000000490,0.0000000490,2,62
"Wed Jun  5 23:55:06 2019","BGRT","REL",0.0000000217,-0.0000000488,0.0000000506,0.0000000506,4,62
"Wed Jun  5 23:55:08 2019","BGRT","REL",0.0000000195,-0.0000000334,0.0000000471,0.0000000471,2,62
"Wed Jun  5 23:55:10 2019","BGRT","REL",0.0000000217,-0.0000000449,0.0000000540,0.0000000540,2,62
"Wed Jun  5 23:55:13 2019","BGRT","REL",0.0000000015,-0.0000000275,0.0000000308,0.0000000308,3,62
"Wed Jun  5 23:55:15 2019","BGRT","REL",0.0000000026,-0.0000000282,0.0000000428,0.0000000428,2,62
