"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Thu Jun  6 00:08:50 2019","BGRT","REL",0.0000000219,-0.0000000518,0.0000000508,0.0000000518,2,62
"Thu Jun  6 00:08:58 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,8,62
"Thu Jun  6 00:08:59 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Thu Jun  6 00:09:03 2019","BGRT","REL",0.0000000004,0.0000000000,0.0000000248,0.0000000248,4,62
"Thu Jun  6 00:09:04 2019","BGRT","REL",0.0000000001,0.0000000000,0.0000000051,0.0000000051,1,62
"Thu Jun  6 00:09:06 2019","BGRT","REL",0.0000000001,-0.0000000045,0.0000000000,0.0000000045,2,62
"Thu Jun  6 00:09:08 2019","BGRT","REL",0.0000000011,0.0000000000,0.0000000364,0.0000000364,2,62
"Thu Jun  6 00:09:12 2019","BGRT","REL",0.0000000038,-0.0000000426,0.0000000342,0.0000000426,4,62
"Thu Jun  6 00:09:15 2019","BGRT","REL",0.0000000086,-0.0000000436,0.0000000483,0.0000000483,3,62
"Thu Jun  6 00:09:18 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Thu Jun  6 00:09:22 2019","BGRT","REL",0.0000000216,-0.0000000440,0.0000000341,0.0000000440,4,62
"Thu Jun  6 00:09:24 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Thu Jun  6 00:09:25 2019","BGRT","REL",0.0000000208,-0.0000000562,0.0000000428,0.0000000562,1,62
"Thu Jun  6 00:09:27 2019","BGRT","REL",0.0000000236,-0.0000000549,0.0000000558,0.0000000558,2,62
"Thu Jun  6 00:09:28 2019","BGRT","REL",0.0000000188,-0.0000000565,0.0000000438,0.0000000565,1,62
"Thu Jun  6 00:09:30 2019","BGRT","REL",0.0000000225,-0.0000000435,0.0000000470,0.0000000470,2,62
"Thu Jun  6 00:09:32 2019","BGRT","REL",0.0000000212,-0.0000000509,0.0000000506,0.0000000509,2,62
"Thu Jun  6 00:09:33 2019","BGRT","REL",0.0000000202,-0.0000000504,0.0000000438,0.0000000504,1,62
"Thu Jun  6 00:09:35 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
