"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000006,0.0000000000,0.0000000345,0.0000000345
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000001,0.0000000000,0.0000000033,0.0000000033
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000005,-0.0000000288,0.0000000000,0.0000000288
0.0000000028,-0.0000000346,0.0000000341,0.0000000346
0.0000000119,-0.0000000531,0.0000000483,0.0000000531
0.0000000224,-0.0000000517,0.0000000514,0.0000000517
0.0000000227,-0.0000000457,0.0000000575,0.0000000575
0.0000000209,-0.0000000541,0.0000000560,0.0000000560
0.0000000000,0.0000000000,0.0000000000,0.0000000000
