0 hermite_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.001000_0.001000,0.0000000226,-0.0000000455,0.0000000475,0.0000000475
11 hermite_formula_-0.001000_0.001000,0.0000000207,-0.0000000451,0.0000000404,0.0000000451
12 hermite_formula_-0.001000_0.001000,0.0000000142,-0.0000000302,0.0000000297,0.0000000302
13 hermite_formula_-0.001000_0.001000,0.0000000209,-0.0000000482,0.0000000481,0.0000000482
14 hermite_formula_-0.001000_0.001000,0.0000000270,-0.0000000570,0.0000000568,0.0000000570
15 hermite_formula_-0.001000_0.001000,0.0000000189,-0.0000000522,0.0000000494,0.0000000522
16 hermite_formula_-0.001000_0.001000,0.0000000243,-0.0000000466,0.0000000470,0.0000000470
17 hermite_formula_-0.001000_0.001000,0.0000000222,-0.0000000527,0.0000000575,0.0000000575
18 hermite_formula_-0.001000_0.001000,0.0000000122,-0.0000000315,0.0000000281,0.0000000315
1 hermite_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.001000_0.001000,0.0000000155,-0.0000000360,0.0000000351,0.0000000360
2 hermite_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.001000_0.001000,0.0000000242,-0.0000000462,0.0000000550,0.0000000550
4 hermite_formula_-0.001000_0.001000,0.0000000173,-0.0000000317,0.0000000295,0.0000000317
5 hermite_formula_-0.001000_0.001000,0.0000000211,-0.0000000476,0.0000000556,0.0000000556
6 hermite_formula_-0.001000_0.001000,0.0000000218,-0.0000000396,0.0000000389,0.0000000396
7 hermite_formula_-0.001000_0.001000,0.0000000235,-0.0000000546,0.0000000486,0.0000000546
8 hermite_formula_-0.001000_0.001000,0.0000000153,-0.0000000295,0.0000000297,0.0000000297
9 hermite_formula_-0.001000_0.001000,0.0000000241,-0.0000000531,0.0000000577,0.0000000577
,0.0000000289,-0.0000000578,0.0000000567,0.0000000578
