"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:13:34 2019","BGRT","REL",0.0000000214,-0.0000000550,0.0000000471,0.0000000550,2,62
"Wed Jun  5 23:13:36 2019","BGRT","REL",0.0000000212,-0.0000000383,0.0000000468,0.0000000468,2,62
"Wed Jun  5 23:13:37 2019","BGRT","REL",0.0000000133,-0.0000000303,0.0000000299,0.0000000303,1,62
"Wed Jun  5 23:13:39 2019","BGRT","REL",0.0000000205,-0.0000000484,0.0000000375,0.0000000484,2,62
"Wed Jun  5 23:13:41 2019","BGRT","REL",0.0000000302,-0.0000000553,0.0000000551,0.0000000553,2,62
"Wed Jun  5 23:13:43 2019","BGRT","REL",0.0000000244,-0.0000000572,0.0000000521,0.0000000572,2,62
"Wed Jun  5 23:13:45 2019","BGRT","REL",0.0000000275,-0.0000000440,0.0000000465,0.0000000465,2,62
"Wed Jun  5 23:13:46 2019","BGRT","REL",0.0000000230,-0.0000000540,0.0000000463,0.0000000540,1,62
"Wed Jun  5 23:13:48 2019","BGRT","REL",0.0000000174,-0.0000000319,0.0000000320,0.0000000320,2,62
"Wed Jun  5 23:13:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:13:53 2019","BGRT","REL",0.0000000178,-0.0000000339,0.0000000363,0.0000000363,3,62
"Wed Jun  5 23:13:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 23:14:01 2019","BGRT","REL",0.0000000214,-0.0000000576,0.0000000369,0.0000000576,4,62
"Wed Jun  5 23:14:03 2019","BGRT","REL",0.0000000153,-0.0000000317,0.0000000281,0.0000000317,2,62
"Wed Jun  5 23:14:06 2019","BGRT","REL",0.0000000210,-0.0000000484,0.0000000446,0.0000000484,3,62
"Wed Jun  5 23:14:08 2019","BGRT","REL",0.0000000206,-0.0000000376,0.0000000393,0.0000000393,2,62
"Wed Jun  5 23:14:10 2019","BGRT","REL",0.0000000205,-0.0000000516,0.0000000524,0.0000000524,2,62
"Wed Jun  5 23:14:11 2019","BGRT","REL",0.0000000138,-0.0000000293,0.0000000287,0.0000000293,1,62
"Wed Jun  5 23:14:15 2019","BGRT","REL",0.0000000205,-0.0000000404,0.0000000489,0.0000000489,4,62
"Wed Jun  5 23:14:17 2019","BGRT","REL",0.0000000288,-0.0000000577,0.0000000567,0.0000000577,2,62
