0 laguerre_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-0.001000_0.001000,0.0000000257,-0.0000000578,0.0000000574,0.0000000578
11 laguerre_formula_-0.001000_0.001000,0.0000000257,-0.0000000570,0.0000000591,0.0000000591
12 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000516,0.0000000568,0.0000000568
13 laguerre_formula_-0.001000_0.001000,0.0000000277,-0.0000000582,0.0000000582,0.0000000582
14 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000579,0.0000000585,0.0000000585
15 laguerre_formula_-0.001000_0.001000,0.0000000250,-0.0000000566,0.0000000588,0.0000000588
16 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000561,0.0000000577,0.0000000577
17 laguerre_formula_-0.001000_0.001000,0.0000000217,-0.0000000499,0.0000000514,0.0000000514
18 laguerre_formula_-0.001000_0.001000,0.0000000248,-0.0000000564,0.0000000532,0.0000000564
1 laguerre_formula_-0.001000_0.001000,0.0000000262,-0.0000000442,0.0000000579,0.0000000579
19 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000589,0.0000000573,0.0000000589
2 laguerre_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.001000_0.001000,0.0000000226,-0.0000000457,0.0000000586,0.0000000586
4 laguerre_formula_-0.001000_0.001000,0.0000000243,-0.0000000562,0.0000000551,0.0000000562
5 laguerre_formula_-0.001000_0.001000,0.0000000259,-0.0000000590,0.0000000568,0.0000000590
6 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000562,0.0000000593,0.0000000593
7 laguerre_formula_-0.001000_0.001000,0.0000000253,-0.0000000594,0.0000000555,0.0000000594
8 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000562,0.0000000582,0.0000000582
9 laguerre_formula_-0.001000_0.001000,0.0000000273,-0.0000000584,0.0000000556,0.0000000584
,0.0000000230,-0.0000000591,0.0000000569,0.0000000591
