"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000257,-0.0000000578,0.0000000574,0.0000000578
0.0000000257,-0.0000000570,0.0000000591,0.0000000591
0.0000000240,-0.0000000516,0.0000000568,0.0000000568
0.0000000277,-0.0000000582,0.0000000582,0.0000000582
0.0000000242,-0.0000000579,0.0000000585,0.0000000585
0.0000000250,-0.0000000566,0.0000000588,0.0000000588
0.0000000242,-0.0000000561,0.0000000577,0.0000000577
0.0000000217,-0.0000000499,0.0000000514,0.0000000514
0.0000000248,-0.0000000564,0.0000000532,0.0000000564
0.0000000262,-0.0000000442,0.0000000579,0.0000000579
0.0000000240,-0.0000000589,0.0000000573,0.0000000589
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000226,-0.0000000457,0.0000000586,0.0000000586
0.0000000243,-0.0000000562,0.0000000551,0.0000000562
0.0000000259,-0.0000000590,0.0000000568,0.0000000590
0.0000000242,-0.0000000562,0.0000000593,0.0000000593
0.0000000253,-0.0000000594,0.0000000555,0.0000000594
0.0000000240,-0.0000000562,0.0000000582,0.0000000582
0.0000000273,-0.0000000584,0.0000000556,0.0000000584
0.0000000230,-0.0000000591,0.0000000569,0.0000000591
