"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:18:16 2019","BGRT","REL",0.0000000170,-0.0000000413,0.0000000557,0.0000000557,4,62
"Wed Jun  5 23:18:20 2019","BGRT","REL",0.0000036004,-0.0000004138,0.0002185664,0.0002185664,4,62
"Wed Jun  5 23:18:23 2019","BGRT","REL",0.0000000929,-0.0000013589,0.0000013559,0.0000013589,3,62
"Wed Jun  5 23:18:28 2019","BGRT","REL",0.0000000820,-0.0000005998,0.0000013223,0.0000013223,4,62
"Wed Jun  5 23:18:32 2019","BGRT","REL",0.0000001766,-0.0000076513,0.0000002993,0.0000076513,4,62
"Wed Jun  5 23:18:37 2019","BGRT","REL",0.0000000325,-0.0000001259,0.0000001338,0.0000001338,5,62
"Wed Jun  5 23:18:40 2019","BGRT","REL",0.0000000244,-0.0000000803,0.0000000599,0.0000000803,3,62
"Wed Jun  5 23:18:45 2019","BGRT","REL",0.0000000234,-0.0000000630,0.0000000572,0.0000000630,4,62
"Wed Jun  5 23:18:49 2019","BGRT","REL",0.0000000226,-0.0000000557,0.0000000459,0.0000000557,4,62
"Wed Jun  5 23:18:50 2019","BGRT","REL",0.0000000249,-0.0000000527,0.0000000547,0.0000000547,1,62
"Wed Jun  5 23:18:54 2019","BGRT","REL",0.0000000195,-0.0000000461,0.0000000367,0.0000000461,4,62
"Wed Jun  5 23:18:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:19:02 2019","BGRT","REL",0.0000000215,-0.0000000464,0.0000000469,0.0000000469,5,62
"Wed Jun  5 23:19:04 2019","BGRT","REL",0.0000000179,-0.0000000365,0.0000000475,0.0000000475,2,62
"Wed Jun  5 23:19:17 2019","BGRT","REL",0.0000000202,-0.0000000417,0.0000000489,0.0000000489,13,62
"Wed Jun  5 23:19:19 2019","BGRT","REL",0.0000000211,-0.0000000492,0.0000000547,0.0000000547,2,62
"Wed Jun  5 23:19:27 2019","BGRT","REL",0.0000000249,-0.0000000475,0.0000000475,0.0000000475,8,62
"Wed Jun  5 23:19:31 2019","BGRT","REL",0.0000000237,-0.0000000566,0.0000000556,0.0000000566,3,62
"Wed Jun  5 23:19:34 2019","BGRT","REL",0.0000000265,-0.0000000622,0.0000000636,0.0000000636,3,62
"Wed Jun  5 23:19:36 2019","BGRT","REL",0.0000000283,-0.0000001032,0.0000000613,0.0000001032,2,62
