"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:13:18 2019","BGRT","REL",0.0000000226,-0.0000000455,0.0000000475,0.0000000475,2,62
"Wed Jun  5 23:13:20 2019","BGRT","REL",0.0000000207,-0.0000000451,0.0000000404,0.0000000451,2,62
"Wed Jun  5 23:13:21 2019","BGRT","REL",0.0000000142,-0.0000000302,0.0000000297,0.0000000302,1,62
"Wed Jun  5 23:13:23 2019","BGRT","REL",0.0000000209,-0.0000000482,0.0000000481,0.0000000482,2,62
"Wed Jun  5 23:13:25 2019","BGRT","REL",0.0000000270,-0.0000000570,0.0000000568,0.0000000570,2,62
"Wed Jun  5 23:13:27 2019","BGRT","REL",0.0000000189,-0.0000000522,0.0000000494,0.0000000522,2,62
"Wed Jun  5 23:13:28 2019","BGRT","REL",0.0000000243,-0.0000000466,0.0000000470,0.0000000470,1,62
"Wed Jun  5 23:13:31 2019","BGRT","REL",0.0000000222,-0.0000000527,0.0000000575,0.0000000575,3,62
"Wed Jun  5 23:13:32 2019","BGRT","REL",0.0000000122,-0.0000000315,0.0000000281,0.0000000315,1,62
"Wed Jun  5 23:13:33 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,62
"Wed Jun  5 23:13:35 2019","BGRT","REL",0.0000000155,-0.0000000360,0.0000000351,0.0000000360,2,62
"Wed Jun  5 23:13:37 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:13:39 2019","BGRT","REL",0.0000000242,-0.0000000462,0.0000000550,0.0000000550,2,62
"Wed Jun  5 23:13:40 2019","BGRT","REL",0.0000000173,-0.0000000317,0.0000000295,0.0000000317,1,62
"Wed Jun  5 23:13:42 2019","BGRT","REL",0.0000000211,-0.0000000476,0.0000000556,0.0000000556,2,62
"Wed Jun  5 23:13:44 2019","BGRT","REL",0.0000000218,-0.0000000396,0.0000000389,0.0000000396,2,62
"Wed Jun  5 23:13:46 2019","BGRT","REL",0.0000000235,-0.0000000546,0.0000000486,0.0000000546,2,62
"Wed Jun  5 23:13:48 2019","BGRT","REL",0.0000000153,-0.0000000295,0.0000000297,0.0000000297,2,62
"Wed Jun  5 23:13:50 2019","BGRT","REL",0.0000000241,-0.0000000531,0.0000000577,0.0000000577,2,62
"Wed Jun  5 23:13:52 2019","BGRT","REL",0.0000000289,-0.0000000578,0.0000000567,0.0000000578,2,62
