0 hermite_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-0.100000_0.100000,0.0000000235,-0.0000000549,0.0000000507,0.0000000549
11 hermite_formula_-0.100000_0.100000,0.0000000265,-0.0000000548,0.0000000534,0.0000000548
12 hermite_formula_-0.100000_0.100000,0.0000000156,-0.0000000331,0.0000000317,0.0000000331
13 hermite_formula_-0.100000_0.100000,0.0000000235,-0.0000000410,0.0000000539,0.0000000539
14 hermite_formula_-0.100000_0.100000,0.0000000220,-0.0000000551,0.0000000543,0.0000000551
15 hermite_formula_-0.100000_0.100000,0.0000000225,-0.0000000446,0.0000000451,0.0000000451
16 hermite_formula_-0.100000_0.100000,0.0000000251,-0.0000000511,0.0000000501,0.0000000511
17 hermite_formula_-0.100000_0.100000,0.0000000197,-0.0000000414,0.0000000485,0.0000000485
18 hermite_formula_-0.100000_0.100000,0.0000000167,-0.0000000334,0.0000000352,0.0000000352
1 hermite_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-0.100000_0.100000,0.0000000186,-0.0000000377,0.0000000377,0.0000000377
2 hermite_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-0.100000_0.100000,0.0000000230,-0.0000000536,0.0000000533,0.0000000536
4 hermite_formula_-0.100000_0.100000,0.0000000163,-0.0000000291,0.0000000315,0.0000000315
5 hermite_formula_-0.100000_0.100000,0.0000000206,-0.0000000449,0.0000000572,0.0000000572
6 hermite_formula_-0.100000_0.100000,0.0000000194,-0.0000000385,0.0000000390,0.0000000390
7 hermite_formula_-0.100000_0.100000,0.0000000236,-0.0000000513,0.0000000490,0.0000000513
8 hermite_formula_-0.100000_0.100000,0.0000000147,-0.0000000296,0.0000000301,0.0000000301
9 hermite_formula_-0.100000_0.100000,0.0000000215,-0.0000000421,0.0000000452,0.0000000452
,0.0000000182,-0.0000000500,0.0000000512,0.0000000512
