"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:18:01 2019","BGRT","REL",0.0000000261,-0.0000000477,0.0000000576,0.0000000576,3,62
"Wed Jun  5 23:18:11 2019","BGRT","REL",0.0000000284,-0.0000000503,0.0000000549,0.0000000549,10,62
"Wed Jun  5 23:18:18 2019","BGRT","REL",0.0000000244,-0.0000000523,0.0000000550,0.0000000550,7,62
"Wed Jun  5 23:18:26 2019","BGRT","REL",0.0000000225,-0.0000000470,0.0000000514,0.0000000514,8,62
"Wed Jun  5 23:18:29 2019","BGRT","REL",0.0000000244,-0.0000000541,0.0000000556,0.0000000556,3,62
"Wed Jun  5 23:18:35 2019","BGRT","REL",0.0000000256,-0.0000000518,0.0000000554,0.0000000554,6,62
"Wed Jun  5 23:18:40 2019","BGRT","REL",0.0000000262,-0.0000000569,0.0000000549,0.0000000569,5,62
"Wed Jun  5 23:18:43 2019","BGRT","REL",0.0000000258,-0.0000000548,0.0000000589,0.0000000589,3,62
"Wed Jun  5 23:18:51 2019","BGRT","REL",0.0000000246,-0.0000000530,0.0000000540,0.0000000540,8,62
"Wed Jun  5 23:18:59 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,8,62
"Wed Jun  5 23:19:13 2019","BGRT","REL",0.0000000281,-0.0000000564,0.0000000530,0.0000000564,14,62
"Wed Jun  5 23:19:18 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:19:21 2019","BGRT","REL",0.0000000245,-0.0000000574,0.0000000569,0.0000000574,2,62
"Wed Jun  5 23:19:30 2019","BGRT","REL",0.0000000256,-0.0000000570,0.0000000573,0.0000000573,9,62
"Wed Jun  5 23:19:32 2019","BGRT","REL",0.0000000226,-0.0000000580,0.0000000522,0.0000000580,2,62
"Wed Jun  5 23:19:35 2019","BGRT","REL",0.0000000252,-0.0000000580,0.0000000565,0.0000000580,3,62
"Wed Jun  5 23:19:38 2019","BGRT","REL",0.0000000231,-0.0000000540,0.0000000584,0.0000000584,3,62
"Wed Jun  5 23:19:41 2019","BGRT","REL",0.0000000253,-0.0000000559,0.0000000512,0.0000000559,3,62
"Wed Jun  5 23:19:43 2019","BGRT","REL",0.0000000234,-0.0000000550,0.0000000556,0.0000000556,2,62
"Wed Jun  5 23:19:45 2019","BGRT","REL",0.0000000238,-0.0000000534,0.0000000534,0.0000000534,2,62
