"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:21:25 2019","BGRT","REL",0.0000000223,-0.0000000533,0.0000000496,0.0000000533,4,62
"Wed Jun  5 23:21:28 2019","BGRT","REL",0.0000000216,-0.0000000463,0.0000000486,0.0000000486,3,62
"Wed Jun  5 23:21:30 2019","BGRT","REL",0.0000000191,-0.0000000374,0.0000000374,0.0000000374,2,62
"Wed Jun  5 23:21:33 2019","BGRT","REL",0.0000000230,-0.0000000512,0.0000000504,0.0000000512,2,62
"Wed Jun  5 23:21:42 2019","BGRT","REL",0.0000000182,-0.0000000340,0.0000000350,0.0000000350,9,62
"Wed Jun  5 23:21:44 2019","BGRT","REL",0.0000000224,-0.0000000485,0.0000000588,0.0000000588,2,62
"Wed Jun  5 23:21:52 2019","BGRT","REL",0.0000000172,-0.0000000330,0.0000000275,0.0000000330,8,62
"Wed Jun  5 23:21:58 2019","BGRT","REL",0.0000000244,-0.0000000475,0.0000000518,0.0000000518,6,62
"Wed Jun  5 23:22:03 2019","BGRT","REL",0.0000000158,-0.0000000300,0.0000000298,0.0000000300,4,62
"Wed Jun  5 23:22:11 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,8,62
"Wed Jun  5 23:22:14 2019","BGRT","REL",0.0000000260,-0.0000000530,0.0000000535,0.0000000535,3,62
"Wed Jun  5 23:22:18 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 23:22:21 2019","BGRT","REL",0.0000000217,-0.0000000568,0.0000000490,0.0000000568,3,62
"Wed Jun  5 23:22:25 2019","BGRT","REL",0.0000000230,-0.0000000477,0.0000000469,0.0000000477,4,62
"Wed Jun  5 23:22:33 2019","BGRT","REL",0.0000000202,-0.0000000535,0.0000000421,0.0000000535,8,62
"Wed Jun  5 23:22:41 2019","BGRT","REL",0.0000000158,-0.0000000335,0.0000000395,0.0000000395,8,62
"Wed Jun  5 23:22:52 2019","BGRT","REL",0.0000000246,-0.0000000527,0.0000000454,0.0000000527,11,62
"Wed Jun  5 23:22:57 2019","BGRT","REL",0.0000000164,-0.0000000292,0.0000000297,0.0000000297,5,62
"Wed Jun  5 23:23:01 2019","BGRT","REL",0.0000000222,-0.0000000475,0.0000000477,0.0000000477,4,62
"Wed Jun  5 23:23:14 2019","BGRT","REL",0.0000000213,-0.0000000400,0.0000000385,0.0000000400,13,62
