"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000224,-0.0000000516,0.0000000447,0.0000000516
0.0000000201,-0.0000000524,0.0000000468,0.0000000524
0.0000000196,-0.0000000382,0.0000000378,0.0000000382
0.0000000186,-0.0000000367,0.0000000414,0.0000000414
0.0000000175,-0.0000000356,0.0000000356,0.0000000356
0.0000000207,-0.0000000408,0.0000000572,0.0000000572
0.0000000176,-0.0000000303,0.0000000303,0.0000000303
0.0000000232,-0.0000000484,0.0000000531,0.0000000531
0.0000000136,-0.0000000294,0.0000000294,0.0000000294
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000284,-0.0000000537,0.0000000542,0.0000000542
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000210,-0.0000000525,0.0000000504,0.0000000525
0.0000000223,-0.0000000462,0.0000000448,0.0000000462
0.0000000232,-0.0000000451,0.0000000464,0.0000000464
0.0000000183,-0.0000000397,0.0000000366,0.0000000397
0.0000000198,-0.0000000550,0.0000000434,0.0000000550
0.0000000155,-0.0000000295,0.0000000275,0.0000000295
0.0000000197,-0.0000000549,0.0000000430,0.0000000549
0.0000000207,-0.0000000386,0.0000000402,0.0000000402
