0 legendre_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-0.100000_0.100000,0.0000000200,-0.0000000445,0.0000000462,0.0000000462
11 legendre_formula_-0.100000_0.100000,0.0000000221,-0.0000000586,0.0000000493,0.0000000586
12 legendre_formula_-0.100000_0.100000,0.0000000220,-0.0000000527,0.0000000471,0.0000000527
13 legendre_formula_-0.100000_0.100000,0.0000000224,-0.0000000510,0.0000000370,0.0000000510
14 legendre_formula_-0.100000_0.100000,0.0000000210,-0.0000000338,0.0000000440,0.0000000440
15 legendre_formula_-0.100000_0.100000,0.0000000225,-0.0000000461,0.0000000441,0.0000000461
16 legendre_formula_-0.100000_0.100000,0.0000000167,-0.0000000352,0.0000000408,0.0000000408
17 legendre_formula_-0.100000_0.100000,0.0000000205,-0.0000000480,0.0000000412,0.0000000480
18 legendre_formula_-0.100000_0.100000,0.0000000160,-0.0000000384,0.0000000547,0.0000000547
1 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-0.100000_0.100000,0.0000000227,-0.0000000490,0.0000000515,0.0000000515
2 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-0.100000_0.100000,0.0000000256,-0.0000000448,0.0000000429,0.0000000448
4 legendre_formula_-0.100000_0.100000,0.0000000259,-0.0000000509,0.0000000544,0.0000000544
5 legendre_formula_-0.100000_0.100000,0.0000000169,-0.0000000449,0.0000000569,0.0000000569
6 legendre_formula_-0.100000_0.100000,0.0000000223,-0.0000000409,0.0000000411,0.0000000411
7 legendre_formula_-0.100000_0.100000,0.0000000208,-0.0000000452,0.0000000535,0.0000000535
8 legendre_formula_-0.100000_0.100000,0.0000000125,-0.0000000274,0.0000000293,0.0000000293
9 legendre_formula_-0.100000_0.100000,0.0000000216,-0.0000000417,0.0000000519,0.0000000519
,0.0000000227,-0.0000000451,0.0000000481,0.0000000481
