"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:19:22 2019","BGRT","REL",0.0000000522,-0.0000001163,0.0000001073,0.0000001163,3,62
"Wed Jun  5 23:19:30 2019","BGRT","REL",0.0000012749,-0.0000054993,0.0000031549,0.0000054993,8,62
"Wed Jun  5 23:19:33 2019","BGRT","REL",0.0000001121,-0.0000003187,0.0000003052,0.0000003187,3,62
"Wed Jun  5 23:19:36 2019","BGRT","REL",0.0000003852,-0.0000011261,0.0000010517,0.0000011261,3,62
"Wed Jun  5 23:19:39 2019","BGRT","REL",0.0000003195,-0.0000009040,0.0000009110,0.0000009110,3,62
"Wed Jun  5 23:19:42 2019","BGRT","REL",0.0000000574,-0.0000001417,0.0000001420,0.0000001420,3,62
"Wed Jun  5 23:19:44 2019","BGRT","REL",0.0000000575,-0.0000001734,0.0000001440,0.0000001734,2,62
"Wed Jun  5 23:19:46 2019","BGRT","REL",0.0000005495,-0.0000017848,0.0000014573,0.0000017848,2,62
"Wed Jun  5 23:19:48 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:19:50 2019","BGRT","REL",0.0000000172,-0.0000000384,0.0000000379,0.0000000384,2,62
"Wed Jun  5 23:19:53 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:19:55 2019","BGRT","REL",0.0000000826,-0.0000002569,0.0000002644,0.0000002644,2,62
"Wed Jun  5 23:19:57 2019","BGRT","REL",0.0000000210,-0.0000000476,0.0000000525,0.0000000525,2,62
"Wed Jun  5 23:19:59 2019","BGRT","REL",0.0000000222,-0.0000000488,0.0000000524,0.0000000524,2,62
"Wed Jun  5 23:20:01 2019","BGRT","REL",0.0000000594,-0.0000001393,0.0000001317,0.0000001393,2,62
"Wed Jun  5 23:20:22 2019","BGRT","REL",0.0000000273,-0.0000000584,0.0000000585,0.0000000585,21,62
"Wed Jun  5 23:20:37 2019","BGRT","REL",0.0000000496,-0.0000001101,0.0000001164,0.0000001164,15,62
"Wed Jun  5 23:20:40 2019","BGRT","REL",0.0000000739,-0.0000002530,0.0000001999,0.0000002530,3,62
