"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000941,-0.0000002148,0.0000002536,0.0000002536
0.0000013574,-0.0000049765,0.0000069763,0.0000069763
0.0000001242,-0.0000002964,0.0000003802,0.0000003802
0.0000006229,-0.0000029010,0.0000017160,0.0000029010
0.0000001020,-0.0000003753,0.0000002737,0.0000003753
0.0000000193,-0.0000000563,0.0000000604,0.0000000604
0.0000016158,-0.0000086988,0.0000123621,0.0000123621
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000190,-0.0000000445,0.0000000455,0.0000000455
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000312,-0.0000000884,0.0000000864,0.0000000884
0.0000000763,-0.0000002138,0.0000001804,0.0000002138
0.0000000253,-0.0000000518,0.0000000491,0.0000000518
0.0000000455,-0.0000001077,0.0000001178,0.0000001178
0.0000000252,-0.0000000737,0.0000000724,0.0000000737
0.0000000248,-0.0000000609,0.0000000628,0.0000000628
0.0000000765,-0.0000002296,0.0000002393,0.0000002393
