0 hermite_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.9_1.1,0.0000001079,-0.0000002695,0.0000002651,0.0000002695
11 hermite_formula_0.9_1.1,0.0000109275,-0.0004302018,0.0000380860,0.0004302018
12 hermite_formula_0.9_1.1,0.0000000857,-0.0000002464,0.0000002343,0.0000002464
13 hermite_formula_0.9_1.1,0.0000010976,-0.0000041430,0.0000034416,0.0000041430
14 hermite_formula_0.9_1.1,0.0000002069,-0.0000007370,0.0000007867,0.0000007867
16 hermite_formula_0.9_1.1,0.0000001854,-0.0000006922,0.0000005313,0.0000006922
17 hermite_formula_0.9_1.1,0.0000000714,-0.0000001736,0.0000001866,0.0000001866
18 hermite_formula_0.9_1.1,0.0000003811,-0.0000048272,0.0000010489,0.0000048272
1 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.9_1.1,0.0000000284,-0.0000000603,0.0000000856,0.0000000856
2 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.9_1.1,0.0000000354,-0.0000001029,0.0000000798,0.0000001029
4 hermite_formula_0.9_1.1,0.0000000354,-0.0000000897,0.0000001113,0.0000001113
5 hermite_formula_0.9_1.1,0.0000000225,-0.0000000439,0.0000000431,0.0000000439
6 hermite_formula_0.9_1.1,0.0000000481,-0.0000001115,0.0000001137,0.0000001137
7 hermite_formula_0.9_1.1,0.0000000221,-0.0000000574,0.0000000489,0.0000000574
8 hermite_formula_0.9_1.1,0.0000000222,-0.0000000465,0.0000000512,0.0000000512
9 hermite_formula_0.9_1.1,0.0000185954,-0.0001156569,0.0006564804,0.0006564804
,0.0000003601,-0.0000008558,0.0000009655,0.0000009655
