"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:15:03 2019","BGRT","REL",0.0000001079,-0.0000002695,0.0000002651,0.0000002695,2,62
"Wed Jun  5 23:15:08 2019","BGRT","REL",0.0000109275,-0.0004302018,0.0000380860,0.0004302018,5,62
"Wed Jun  5 23:15:19 2019","BGRT","REL",0.0000000857,-0.0000002464,0.0000002343,0.0000002464,11,62
"Wed Jun  5 23:15:26 2019","BGRT","REL",0.0000010976,-0.0000041430,0.0000034416,0.0000041430,7,62
"Wed Jun  5 23:15:29 2019","BGRT","REL",0.0000002069,-0.0000007370,0.0000007867,0.0000007867,3,62
"Wed Jun  5 23:15:33 2019","BGRT","REL",0.0000001854,-0.0000006922,0.0000005313,0.0000006922,4,62
"Wed Jun  5 23:15:38 2019","BGRT","REL",0.0000000714,-0.0000001736,0.0000001866,0.0000001866,5,62
"Wed Jun  5 23:15:41 2019","BGRT","REL",0.0000003811,-0.0000048272,0.0000010489,0.0000048272,3,62
"Wed Jun  5 23:15:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:15:47 2019","BGRT","REL",0.0000000284,-0.0000000603,0.0000000856,0.0000000856,3,62
"Wed Jun  5 23:15:49 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:15:54 2019","BGRT","REL",0.0000000354,-0.0000001029,0.0000000798,0.0000001029,5,62
"Wed Jun  5 23:16:02 2019","BGRT","REL",0.0000000354,-0.0000000897,0.0000001113,0.0000001113,8,62
"Wed Jun  5 23:16:08 2019","BGRT","REL",0.0000000225,-0.0000000439,0.0000000431,0.0000000439,6,62
"Wed Jun  5 23:16:13 2019","BGRT","REL",0.0000000481,-0.0000001115,0.0000001137,0.0000001137,4,62
"Wed Jun  5 23:16:19 2019","BGRT","REL",0.0000000221,-0.0000000574,0.0000000489,0.0000000574,6,62
"Wed Jun  5 23:16:21 2019","BGRT","REL",0.0000000222,-0.0000000465,0.0000000512,0.0000000512,2,62
"Wed Jun  5 23:16:22 2019","BGRT","REL",0.0000185954,-0.0001156569,0.0006564804,0.0006564804,1,62
"Wed Jun  5 23:16:34 2019","BGRT","REL",0.0000003601,-0.0000008558,0.0000009655,0.0000009655,12,62
