"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:28:45 2019","BGRT","REL",0.0000000209,-0.0000000396,0.0000000433,0.0000000433,2,62
"Wed Jun  5 23:28:47 2019","BGRT","REL",0.0000000212,-0.0000000437,0.0000000547,0.0000000547,2,62
"Wed Jun  5 23:28:49 2019","BGRT","REL",0.0000000231,-0.0000000625,0.0000000546,0.0000000625,2,62
"Wed Jun  5 23:28:55 2019","BGRT","REL",0.0000000223,-0.0000000563,0.0000000827,0.0000000827,6,62
"Wed Jun  5 23:28:57 2019","BGRT","REL",0.0000000244,-0.0000000512,0.0000000607,0.0000000607,2,62
"Wed Jun  5 23:29:01 2019","BGRT","REL",0.0000000308,-0.0000000715,0.0000000754,0.0000000754,4,62
"Wed Jun  5 23:29:04 2019","BGRT","REL",0.0000000213,-0.0000000513,0.0000000503,0.0000000513,3,62
"Wed Jun  5 23:29:06 2019","BGRT","REL",0.0000000232,-0.0000000472,0.0000000465,0.0000000472,2,62
"Wed Jun  5 23:29:08 2019","BGRT","REL",0.0000000267,-0.0000000854,0.0000000790,0.0000000854,2,62
"Wed Jun  5 23:29:10 2019","BGRT","REL",0.0000000281,-0.0000000596,0.0000000595,0.0000000596,2,62
"Wed Jun  5 23:29:20 2019","BGRT","REL",0.0000000322,-0.0000000573,0.0000000634,0.0000000634,10,62
"Wed Jun  5 23:29:22 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:29:28 2019","BGRT","REL",0.0000000233,-0.0000000596,0.0000000619,0.0000000619,6,62
"Wed Jun  5 23:29:31 2019","BGRT","REL",0.0000000287,-0.0000000653,0.0000000831,0.0000000831,3,62
"Wed Jun  5 23:29:34 2019","BGRT","REL",0.0000000180,-0.0000000369,0.0000000351,0.0000000369,3,62
"Wed Jun  5 23:29:38 2019","BGRT","REL",0.0000000246,-0.0000000514,0.0000000528,0.0000000528,4,62
"Wed Jun  5 23:29:40 2019","BGRT","REL",0.0000000205,-0.0000000451,0.0000000487,0.0000000487,2,62
"Wed Jun  5 23:29:43 2019","BGRT","REL",0.0000000165,-0.0000000424,0.0000000360,0.0000000424,2,62
"Wed Jun  5 23:29:46 2019","BGRT","REL",0.0000000267,-0.0000000662,0.0000000619,0.0000000662,3,62
"Wed Jun  5 23:29:53 2019","BGRT","REL",0.0000000254,-0.0000000654,0.0000000735,0.0000000735,7,62
