0 laguerre_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
11 laguerre_formula_0.95_1.05,0.0000001925,-0.0000004624,0.0000004030,0.0000004624
12 laguerre_formula_0.95_1.05,0.0000033198,-0.0000077398,0.0000112037,0.0000112037
16 laguerre_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 laguerre_formula_0.95_1.05,0.0000000359,-0.0000000949,0.0000001675,0.0000001675
18 laguerre_formula_0.95_1.05,0.0000003348,-0.0000008293,0.0000010947,0.0000010947
1 laguerre_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_0.95_1.05,0.0000006974,-0.0000018688,0.0000013573,0.0000018688
2 laguerre_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_0.95_1.05,0.0000044351,-0.0000134768,0.0000256828,0.0000256828
5 laguerre_formula_0.95_1.05,0.0000000283,-0.0000000516,0.0000000605,0.0000000605
6 laguerre_formula_0.95_1.05,0.0000000280,-0.0000000913,0.0000000814,0.0000000913
7 laguerre_formula_0.95_1.05,0.0000000223,-0.0000000383,0.0000000485,0.0000000485
,0.0000000201,-0.0000000507,0.0000000470,0.0000000507
