"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:24:44 2019","BGRT","REL",0.0000001925,-0.0000004624,0.0000004030,0.0000004624,5,62
"Wed Jun  5 23:24:47 2019","BGRT","REL",0.0000033198,-0.0000077398,0.0000112037,0.0000112037,3,62
"Wed Jun  5 23:24:53 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 23:24:59 2019","BGRT","REL",0.0000000359,-0.0000000949,0.0000001675,0.0000001675,3,62
"Wed Jun  5 23:25:05 2019","BGRT","REL",0.0000003348,-0.0000008293,0.0000010947,0.0000010947,6,62
"Wed Jun  5 23:25:08 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:25:13 2019","BGRT","REL",0.0000006974,-0.0000018688,0.0000013573,0.0000018688,5,62
"Wed Jun  5 23:25:30 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,17,62
"Wed Jun  5 23:25:39 2019","BGRT","REL",0.0000044351,-0.0000134768,0.0000256828,0.0000256828,9,62
"Wed Jun  5 23:25:44 2019","BGRT","REL",0.0000000283,-0.0000000516,0.0000000605,0.0000000605,5,62
"Wed Jun  5 23:25:47 2019","BGRT","REL",0.0000000280,-0.0000000913,0.0000000814,0.0000000913,3,62
"Wed Jun  5 23:25:51 2019","BGRT","REL",0.0000000223,-0.0000000383,0.0000000485,0.0000000485,4,62
"Wed Jun  5 23:25:54 2019","BGRT","REL",0.0000000201,-0.0000000507,0.0000000470,0.0000000507,3,62
