"Average Error","Error LB","Error UB","Abs. Worst"
0.0000001925,-0.0000004624,0.0000004030,0.0000004624
0.0000033198,-0.0000077398,0.0000112037,0.0000112037
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000359,-0.0000000949,0.0000001675,0.0000001675
0.0000003348,-0.0000008293,0.0000010947,0.0000010947
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000006974,-0.0000018688,0.0000013573,0.0000018688
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000044351,-0.0000134768,0.0000256828,0.0000256828
0.0000000283,-0.0000000516,0.0000000605,0.0000000605
0.0000000280,-0.0000000913,0.0000000814,0.0000000913
0.0000000223,-0.0000000383,0.0000000485,0.0000000485
0.0000000201,-0.0000000507,0.0000000470,0.0000000507
