"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:34:29 2019","BGRT","REL",0.0000333986,-0.0001191953,0.0001154964,0.0001191953,3,62
"Wed Jun  5 23:34:31 2019","BGRT","REL",0.0000009725,-0.0000020932,0.0000020959,0.0000020959,2,62
"Wed Jun  5 23:34:34 2019","BGRT","REL",0.0000000191,-0.0000000347,0.0000000370,0.0000000370,3,62
"Wed Jun  5 23:34:36 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:34:39 2019","BGRT","REL",0.0000011821,-0.0000026173,0.0000027218,0.0000027218,3,62
"Wed Jun  5 23:34:41 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:34:44 2019","BGRT","REL",0.0000004376,-0.0000012552,0.0000012128,0.0000012552,3,62
"Wed Jun  5 23:34:47 2019","BGRT","REL",0.0000000665,-0.0000001420,0.0000001807,0.0000001807,3,62
"Wed Jun  5 23:34:50 2019","BGRT","REL",0.0000000202,-0.0000000472,0.0000000479,0.0000000479,3,62
"Wed Jun  5 23:34:53 2019","BGRT","REL",0.0000000255,-0.0000000529,0.0000000575,0.0000000575,3,62
"Wed Jun  5 23:34:55 2019","BGRT","REL",0.0000000213,-0.0000000525,0.0000000533,0.0000000533,2,62
"Wed Jun  5 23:34:57 2019","BGRT","REL",0.0000000238,-0.0000000615,0.0000000556,0.0000000615,2,62
