13 legendre_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_-1.1_-0.9,0.0005477476,-0.0051898855,0.0047199658,0.0051898855
17 legendre_formula_-1.1_-0.9,0.0003511800,-0.0038584753,0.0129636837,0.0129636837
18 legendre_formula_-1.1_-0.9,0.0000036752,-0.0000355102,0.0000289716,0.0000355102
1 legendre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.1_-0.9,0.0000000204,-0.0000000456,0.0000000446,0.0000000456
2 legendre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-1.1_-0.9,0.0000002681,-0.0000013442,0.0000012961,0.0000013442
4 legendre_formula_-1.1_-0.9,0.0000008826,-0.0000037342,0.0000156055,0.0000156055
5 legendre_formula_-1.1_-0.9,0.0000000216,-0.0000000420,0.0000000464,0.0000000464
6 legendre_formula_-1.1_-0.9,0.0000001888,-0.0000006474,0.0000006897,0.0000006897
7 legendre_formula_-1.1_-0.9,0.0000000219,-0.0000000548,0.0000000475,0.0000000548
,0.0000000218,-0.0000000831,0.0000000683,0.0000000831
