"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:33:31 2019","BGRT","REL",0.0000019468,-0.0000037846,0.0000045088,0.0000045088,3,62
"Wed Jun  5 23:33:39 2019","BGRT","REL",0.0000695865,-0.0003017151,0.0002129159,0.0003017151,8,62
"Wed Jun  5 23:33:44 2019","BGRT","REL",0.0000004490,-0.0000010678,0.0000009379,0.0000010678,5,62
"Wed Jun  5 23:33:51 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,7,62
"Wed Jun  5 23:33:54 2019","BGRT","REL",0.0000006435,-0.0000012281,0.0000015144,0.0000015144,3,62
"Wed Jun  5 23:34:00 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,6,62
"Wed Jun  5 23:34:03 2019","BGRT","REL",0.0000001535,-0.0000003000,0.0000003893,0.0000003893,3,62
"Wed Jun  5 23:34:12 2019","BGRT","REL",0.0000003224,-0.0000007544,0.0000007535,0.0000007544,9,62
"Wed Jun  5 23:34:16 2019","BGRT","REL",0.0000000287,-0.0000000576,0.0000000577,0.0000000577,4,62
"Wed Jun  5 23:34:19 2019","BGRT","REL",0.0000000915,-0.0000002132,0.0000002168,0.0000002168,3,62
"Wed Jun  5 23:34:21 2019","BGRT","REL",0.0000000574,-0.0000001655,0.0000001828,0.0000001828,2,62
"Wed Jun  5 23:34:26 2019","BGRT","REL",0.0000000308,-0.0000000755,0.0000000851,0.0000000851,5,62
