"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:19:12 2019","BGRT","REL",0.0000000257,-0.0000000467,0.0000000449,0.0000000467,9,62
"Wed Jun  5 23:19:19 2019","BGRT","REL",0.0000000184,-0.0000000371,0.0000000372,0.0000000372,7,62
"Wed Jun  5 23:19:25 2019","BGRT","REL",0.0000000210,-0.0000000418,0.0000000432,0.0000000432,6,62
"Wed Jun  5 23:19:30 2019","BGRT","REL",0.0000000211,-0.0000000392,0.0000000376,0.0000000392,4,62
"Wed Jun  5 23:19:33 2019","BGRT","REL",0.0000000237,-0.0000000530,0.0000000544,0.0000000544,3,62
"Wed Jun  5 23:19:35 2019","BGRT","REL",0.0000000236,-0.0000000501,0.0000000490,0.0000000501,2,62
"Wed Jun  5 23:19:39 2019","BGRT","REL",0.0000000154,-0.0000000323,0.0000000326,0.0000000326,4,62
"Wed Jun  5 23:19:42 2019","BGRT","REL",0.0000000255,-0.0000000548,0.0000000557,0.0000000557,3,62
"Wed Jun  5 23:19:44 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:19:46 2019","BGRT","REL",0.0000000171,-0.0000000365,0.0000000351,0.0000000365,2,62
"Wed Jun  5 23:19:48 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:19:50 2019","BGRT","REL",0.0000000153,-0.0000000320,0.0000000329,0.0000000329,2,62
"Wed Jun  5 23:19:53 2019","BGRT","REL",0.0000000202,-0.0000000390,0.0000000374,0.0000000390,3,62
"Wed Jun  5 23:19:55 2019","BGRT","REL",0.0000000222,-0.0000000488,0.0000000524,0.0000000524,2,62
"Wed Jun  5 23:19:57 2019","BGRT","REL",0.0000000229,-0.0000000481,0.0000000462,0.0000000481,2,62
"Wed Jun  5 23:19:59 2019","BGRT","REL",0.0000000273,-0.0000000584,0.0000000585,0.0000000585,2,62
"Wed Jun  5 23:20:01 2019","BGRT","REL",0.0000000263,-0.0000000578,0.0000000590,0.0000000590,2,62
"Wed Jun  5 23:20:22 2019","BGRT","REL",0.0000000226,-0.0000000355,0.0000000363,0.0000000363,21,62
