"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000257,-0.0000000467,0.0000000449,0.0000000467
0.0000000184,-0.0000000371,0.0000000372,0.0000000372
0.0000000210,-0.0000000418,0.0000000432,0.0000000432
0.0000000211,-0.0000000392,0.0000000376,0.0000000392
0.0000000237,-0.0000000530,0.0000000544,0.0000000544
0.0000000236,-0.0000000501,0.0000000490,0.0000000501
0.0000000154,-0.0000000323,0.0000000326,0.0000000326
0.0000000255,-0.0000000548,0.0000000557,0.0000000557
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000171,-0.0000000365,0.0000000351,0.0000000365
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000153,-0.0000000320,0.0000000329,0.0000000329
0.0000000202,-0.0000000390,0.0000000374,0.0000000390
0.0000000222,-0.0000000488,0.0000000524,0.0000000524
0.0000000229,-0.0000000481,0.0000000462,0.0000000481
0.0000000273,-0.0000000584,0.0000000585,0.0000000585
0.0000000263,-0.0000000578,0.0000000590,0.0000000590
0.0000000226,-0.0000000355,0.0000000363,0.0000000363
