0 hermite_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.95_1.05,0.0000000245,-0.0000000517,0.0000000455,0.0000000517
11 hermite_formula_0.95_1.05,0.0000000219,-0.0000000481,0.0000000529,0.0000000529
12 hermite_formula_0.95_1.05,0.0000000239,-0.0000000465,0.0000000491,0.0000000491
13 hermite_formula_0.95_1.05,0.0000000203,-0.0000000479,0.0000000538,0.0000000538
16 hermite_formula_0.95_1.05,0.0000000252,-0.0000000446,0.0000000521,0.0000000521
17 hermite_formula_0.95_1.05,0.0000000162,-0.0000000314,0.0000000351,0.0000000351
18 hermite_formula_0.95_1.05,0.0000000215,-0.0000000479,0.0000000516,0.0000000516
1 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.95_1.05,0.0000000189,-0.0000000445,0.0000000455,0.0000000455
2 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.95_1.05,0.0000000176,-0.0000000481,0.0000000406,0.0000000481
4 hermite_formula_0.95_1.05,0.0000000239,-0.0000000421,0.0000000420,0.0000000421
5 hermite_formula_0.95_1.05,0.0000000253,-0.0000000518,0.0000000491,0.0000000518
6 hermite_formula_0.95_1.05,0.0000000254,-0.0000000491,0.0000000502,0.0000000502
7 hermite_formula_0.95_1.05,0.0000000217,-0.0000000531,0.0000000517,0.0000000531
9 hermite_formula_0.95_1.05,0.0000000242,-0.0000000536,0.0000000542,0.0000000542
,0.0000000202,-0.0000000358,0.0000000359,0.0000000359
