"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000204,-0.0000000459,0.0000000525,0.0000000525
0.0000000208,-0.0000000467,0.0000000396,0.0000000467
0.0000000236,-0.0000000418,0.0000000556,0.0000000556
0.0000000211,-0.0000000501,0.0000000368,0.0000000501
0.0000000205,-0.0000000585,0.0000000457,0.0000000585
0.0000000216,-0.0000000461,0.0000000498,0.0000000498
0.0000000192,-0.0000000369,0.0000000360,0.0000000369
0.0000000222,-0.0000000538,0.0000000464,0.0000000538
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000243,-0.0000000542,0.0000000576,0.0000000576
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000217,-0.0000000564,0.0000000524,0.0000000564
0.0000000230,-0.0000000433,0.0000000408,0.0000000433
0.0000000225,-0.0000000439,0.0000000431,0.0000000439
0.0000000238,-0.0000000502,0.0000000499,0.0000000502
0.0000000221,-0.0000000574,0.0000000489,0.0000000574
0.0000000222,-0.0000000465,0.0000000512,0.0000000512
0.0000000196,-0.0000000452,0.0000000480,0.0000000480
0.0000000227,-0.0000000404,0.0000000455,0.0000000455
