0 laguerre_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.01_-0.99,0.0000000181,-0.0000000334,0.0000000323,0.0000000334
11 laguerre_formula_-1.01_-0.99,0.0000000191,-0.0000000341,0.0000000354,0.0000000354
12 laguerre_formula_-1.01_-0.99,0.0000000204,-0.0000000403,0.0000000417,0.0000000417
13 laguerre_formula_-1.01_-0.99,0.0000000306,-0.0000000546,0.0000000555,0.0000000555
14 laguerre_formula_-1.01_-0.99,0.0000000170,-0.0000000342,0.0000000335,0.0000000342
15 laguerre_formula_-1.01_-0.99,0.0000000212,-0.0000000432,0.0000000406,0.0000000432
16 laguerre_formula_-1.01_-0.99,0.0000000269,-0.0000000575,0.0000000560,0.0000000575
17 laguerre_formula_-1.01_-0.99,0.0000000200,-0.0000000366,0.0000000354,0.0000000366
18 laguerre_formula_-1.01_-0.99,0.0000000224,-0.0000000495,0.0000000488,0.0000000495
1 laguerre_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-1.01_-0.99,0.0000000251,-0.0000000420,0.0000000427,0.0000000427
2 laguerre_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-1.01_-0.99,0.0000000141,-0.0000000304,0.0000000279,0.0000000304
4 laguerre_formula_-1.01_-0.99,0.0000000198,-0.0000000413,0.0000000411,0.0000000413
5 laguerre_formula_-1.01_-0.99,0.0000000158,-0.0000000309,0.0000000296,0.0000000309
6 laguerre_formula_-1.01_-0.99,0.0000000209,-0.0000000457,0.0000000447,0.0000000457
7 laguerre_formula_-1.01_-0.99,0.0000000179,-0.0000000332,0.0000000347,0.0000000347
8 laguerre_formula_-1.01_-0.99,0.0000000211,-0.0000000596,0.0000000596,0.0000000596
9 laguerre_formula_-1.01_-0.99,0.0000000222,-0.0000000450,0.0000000457,0.0000000457
,0.0000000272,-0.0000000552,0.0000000552,0.0000000552
