"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:29:23 2019","BGRT","REL",0.0000000193,-0.0000000508,0.0000000488,0.0000000508,3,62
"Wed Jun  5 23:29:29 2019","BGRT","REL",0.0000000206,-0.0000000559,0.0000000559,0.0000000559,6,62
"Wed Jun  5 23:29:32 2019","BGRT","REL",0.0000000238,-0.0000000526,0.0000000530,0.0000000530,3,62
"Wed Jun  5 23:29:34 2019","BGRT","REL",0.0000000196,-0.0000000438,0.0000000553,0.0000000553,2,62
"Wed Jun  5 23:29:37 2019","BGRT","REL",0.0000000234,-0.0000000547,0.0000000530,0.0000000547,3,62
"Wed Jun  5 23:29:39 2019","BGRT","REL",0.0000000216,-0.0000000549,0.0000000484,0.0000000549,2,62
"Wed Jun  5 23:29:42 2019","BGRT","REL",0.0000000199,-0.0000000499,0.0000000570,0.0000000570,3,62
"Wed Jun  5 23:29:45 2019","BGRT","REL",0.0000000176,-0.0000000387,0.0000000394,0.0000000394,3,62
"Wed Jun  5 23:29:50 2019","BGRT","REL",0.0000000215,-0.0000000480,0.0000000463,0.0000000480,5,62
"Wed Jun  5 23:29:52 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:29:55 2019","BGRT","REL",0.0000000234,-0.0000000485,0.0000000462,0.0000000485,3,62
"Wed Jun  5 23:29:57 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:30:00 2019","BGRT","REL",0.0000000208,-0.0000000508,0.0000000571,0.0000000571,3,62
"Wed Jun  5 23:30:02 2019","BGRT","REL",0.0000000248,-0.0000000412,0.0000000473,0.0000000473,2,62
"Wed Jun  5 23:30:08 2019","BGRT","REL",0.0000000206,-0.0000000575,0.0000000544,0.0000000575,6,62
"Wed Jun  5 23:30:10 2019","BGRT","REL",0.0000000231,-0.0000000446,0.0000000480,0.0000000480,2,62
"Wed Jun  5 23:30:13 2019","BGRT","REL",0.0000000180,-0.0000000359,0.0000000369,0.0000000369,3,62
"Wed Jun  5 23:30:15 2019","BGRT","REL",0.0000000221,-0.0000000596,0.0000000584,0.0000000596,2,62
"Wed Jun  5 23:30:18 2019","BGRT","REL",0.0000000256,-0.0000000557,0.0000000475,0.0000000557,3,62
"Wed Jun  5 23:30:24 2019","BGRT","REL",0.0000000232,-0.0000000547,0.0000000432,0.0000000547,6,62
